Title,Full Reference
interprocedural static slicing of binary executables,"Kiss A., Jasz J., Lehotai G., Gyimothy T., Interprocedural static slicing of binary executables, Proceedings Third IEEE International Workshop on Source Code Analysis and Manipulation. IEEE, pp. 118-127, (2003)"
automatic program bug location by program slicing,"Lyle R., Automatic program bug location by program slicing, Proceedings 2nd international conference on computers and applications, pp. 877-883, (1987)"
nvd cwe slice,Nvd Cwe Slice
program slicing,""
programmers use slices when debugging,"Weiser M., Programmers Use Slices When Debugging, Commun. ACM, 25, 7, pp. 446-452, (1982)"
program slices: formal,"Weiser M.D., Program slices: Formal, psychological, and practical in-vestigations of an automatic program abstraction method, (1979)"
learning precise program semantics for vulnerability detection via type-speci-c inter-procedural slicing,"Learning Precise Program Semantics for Vulnerability Detection via Type-speci-c Inter-procedural Slicing, (2023)"
locating faults with program slicing: an empirical analysis,"Soremekun E.O., Kirschner L., Bohme M., Zeller A., Locating faults with program slicing: An empirical analysis, Empir. Softw. Eng., 26, 3, (2021)"
precise executable interprocedural slices,"Binkley D., Precise executable interprocedural slices, ACM Letters on Programming Languages and Systems (LOPLAS), 2, 1-4, pp. 31-45, (1993)"
improved interprocedural slicing algorithm,"Lakhotia A., Improved interprocedural slicing algorithm, (1992)"
dynamic software architecture slicing,"Kim T., Song Y., Chung L., Hyunh D.T., Dynamic software architecture slicing, Proceedings. Twenty-Third Annual International Computer Software and Applications Conference (Cat. No. 99CB37032). IEEE, pp. 61-66, (1999)"
static interprocedural slicing of shared memory parallel programs,"Hisley D., Bridges M., Pollock L., Static interprocedural slicing of shared memory parallel programs, (2002)"
program slicing: a computer aided programming technique,"Kilpatrick P., Crookes D., Owens M., Program slicing: A computer aided programming technique, Second IEF/BCS Conference: Software Engineering, 1988 Software Engineering 88. IET, pp. 60-64, (1988)"
interprocedural slicing using dependence graphs,"Horwitz S., Reps T., Binkley D., Interprocedural slicing using dependence graphs, ACM Transactions on Programming Languages and Systems (TOPLAS), 12, 1, pp. 26-60, (1990)"
using slicing to identify duplication in source code,"Komondoor R., Horwitz S., Using slicing to identify duplication in source code, Proceedings Ofthe 2001 International Static Analysis Symposium (ISAS'OI), pp. 40-56, (2001)"
software architecture analysis using dynamic slicing,"Kim T., Song Y., Chung L., Huynh D.T., Software architecture analysis using dynamic slicing, AoM/IAoM 17th International Conference on Computer Science, pp. 242-247, (1999)"
program slicing techniques and its applications,"Sasirekha N., Robert A.E., Hemalatha D.M., Program slicing techniques and its applications, (2011)"
chopping: a generalization of slic-ing,"Jackson D., Rollins E.J., Chopping: A generalization of slic-ing, (1994)"
a brief survey of program slicing,"Xu B., Qian J., Zhang X., Wu Z., Chen L., A brief survey of program slicing, ACM SIGSOFT Software Engineering Notes, 30, 2, pp. 1-36, (2005)"
precise interprocedural chopping,"Reps T., Rosay G., Precise interprocedural chopping, Proceedings of the 3rd ACM SIGSOFT Symposium on Foundations of Software Engineering, pp. 41-52, (1995)"
software architecture analysis: a dynamic slicing approach,"Kim T., Song Y., Chung L., Huynh D.T., Software architecture analysis: A dynamic slicing approach, International Journal of Computer & Information Science, 1, 2, pp. 91-103, (2000)"
applying slicing technique to software architectures,"Zhao J., Applying slicing technique to software architectures, Proceedings. Fourth IEEE International Conference on Engineering of Complex Computer Systems (Cat. No. 98EX193). IEEE, pp. 87-98, (1998)"
pruning dynamic slices with confidence,"Zhang X., Gupta N., Gupta R., Pruning dynamic slices with confidence, 2006 ACM SIGPLAN Conference on Programming Language Design and Implementation, (2006)"
program synthesis by sketching,"Solar-Lezama A., Program Synthesis by Sketching, (2008)"
