Title,Full Reference
practical memory checking with dr. memory,"Bruening D., Zhao Q., Practical memory checking with dr. memory, Proceedings of the CGO 2011, the 9th International Symposium on Code Generation and Optimization, pp. 213-223, (2011)"
practical memory leak detection using guarded value-flow analysis,"Cherem S., Princehouse L., Rugina R., Practical memory leak detection using guarded value-flow analysis, Proceedings of the ACM SIGPLAN 2007 Conference on Programming Language Design and Implementation, pp. 480-491, (2007)"
evaluating and comparing memory error vulnerability detectors,"Nong Y., Cai H., Ye P., Li L., Chen F., Evaluating and comparing memory error vulnerability detectors, Inf. Softw. Technol., 137, (2021)"
automatic discovery and quantification of information leaks,"Backes M., Kopf B., Rybalchenko A., Automatic Discovery and Quantification of Information Leaks, 2009 30th IEEE Symposium on Security and Privacy. IEEE, pp. 141-153, (2009)"
smoke: scalable path-sensitive memory leak detection for millions of lines of code,"Fan G., Wu R., Shi Q., Xiao X., Zhou J., Zhang C., Smoke: Scalable path-sensitive memory leak detection for millions of lines of code, Proceedings of the 41st International Conference on Software Engineering, ICSE 2019, pp. 72-82, (2019)"
memory error detection in security testing,"Imtiaz N., Williams L.A., Memory error detection in security testing, (2021)"
static memory leak detection using full-sparse value-flow analysis,"Sui Y., Ye D., Xue J., Static memory leak detection using full-sparse value-flow analysis, International Symposium on Software Testing and Analysis, ISSTA 2012, pp. 254-264, (2012)"
memory leak analysis by contradiction,"Orlovich M., Rugina R., Memory leak analysis by contradiction, Static Analysis, 13th International Symposium, SAS 2006, 4134, pp. 405-424, (2006)"
runtime detection of memory errors with smart status,"Chen Z., Wang C., Yan J., Sui Y., Xue J., Runtime detection of memory errors with smart status, Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA’21), pp. 296-308, (2021)"
automated memory leak detection for production use,"Jung C., Lee S., Raman E., Pande S., Automated memory leak detection for production use, Proceedings of the 36th International Conference on Software Engineering (ICSE’14), pp. 825-836, (2014)"
detecting memory leaks statically with full-sparse value-flow analysis,"Sui Y., Ye D., Xue J., Detecting memory leaks statically with full-sparse value-flow analysis, IEEE Trans. Software Eng., 40, 2, pp. 107-122, (2014)"
pca: memory leak detection using partial call-path analysis,"Li W., Cai H., Sui Y., Manz D., PCA: Memory leak detection using partial call-path analysis, ESEC/FSE '20: 28th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering, pp. 1621-1625, (2020)"
leakpoint: pinpointing the causes of memory leaks,"Clause J.A., Orso A., Leakpoint: Pinpointing the causes of memory leaks, Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering-Volume 1, ICSE 2010, pp. 515-524, (2010)"
