Title,Full Reference
a systematic mapping study of source code representation for deep learning in software engineering,"Samoaa H.P., Bayram F., Salza P., Leitner P., A systematic mapping study of source code representation for deep learning in software engineering, IET Softw, (2022)"
deep learning similarities from different representations of source code,"Tufano M., Watson C., Bavota G., Di Penta M., White M., Poshyvanyk D., Deep learning similarities from different representations of source code, MSR, (2018)"
code mapping in heterogeneous platforms using deep learning and llvm-ir,"Barchi F., Urgese G., Macii E., Acquaviva A., Code mapping in heterogeneous platforms using deep learning and llvm-ir, 2019 56th ACM/IEEE Design Automation Conference (DAC), pp. 1-6, (2019)"
codeql for research,"CodeQL for research, Semmle, (2019)"
source code analysis: a road map,"Binkley D., Source code analysis: A road map, Proc. Future Softw. Eng., pp. 104-119, (2007)"
codexglue: a machine learning benchmark dataset for code understanding and generation [j],"Lu S., Guo D., Ren S., Et al., Codexglue: A machine learning benchmark dataset for code understanding and generation [J], (2021)"
a survey on machine learning techniques for source code analysis,"Sharma T., Kechagia M., Georgiou S., Tiwari R., Sarro F., A Survey on Machine Learning Techniques for Source Code Analysis, (2021)"
deep learning for source code modeling and generation: models,"Le T.H.M., Chen H., Ali Babar M., Deep learning for source code modeling and generation: Models, applications, and challenges, ACM Computing Surveys (CSUR), 53, 3, pp. 1-38, (2020)"
project codenet: a large-scale ai for code dataset for learning a diversity of coding tasks.,"Puri R., Kung D.S., Janssen G., Zhang W., Domeniconi G., Zolotov V., Dolby J., Chen J., Choudhury M., Decker L., Et al., Project CodeNet: A Large-Scale AI for Code Dataset for Learning A Diversity of Coding Tasks., (2021)"
a survey on deep learning-based source code defect analysis,"Guan Z., Wang X., Xin W., Wang J., Zhang L., A survey on deep learning-based source code defect analysis, 2020 5th Int. Conf. Comput. Commun. Syst. Icccs 2020, pp. 167-171, (2020)"
retrieval on source code: a neural code search,"Sachdev S., Li H., Luan S., Kim S., Sen K., Chandra S., Retrieval on source code: A neural code search, Proceedings of the 2Nd ACM SIGPLAN International Workshop on Machine Learning and Programming Languages, pp. 31-41, (2018)"
deep code search,"Gu X., Zhang H., Kim S., Deep code search, 2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)., pp. 933-944, (2018)"
codesearchnet challenge: evaluating the state of semantic code search,"Husain H., Wu H., Gazit T., Allamanis M., Brockschmidt M., Codesearchnet challenge: Evaluating the state of semantic code search, CoRR, (2019)"
cradle: deep code retrieval based on semantic dependency learning,"Gu W., Et al., CRaDLe: Deep code retrieval based on semantic dependency learning, Neural Netw, 141, pp. 385-394, (2021)"
deepsim: deep learning code functional similarity,"Zhao G., Huang J., Deepsim: deep learning code functional similarity, pp. 141-151, (2018)"
deepcode: feedback codes via deep learning,"Kim H., Jiang Y., Kannan S., Oh S., Viswanath P., Deepcode: Feedback codes via deep learning, CoRR, (2018)"
neural code search evaluation dataset,"Li H., Kim S., Chandra S., Neural code search evaluation dataset, Arxiv: Cs.Se/1908.09804, (2019)"
