Title,Full Reference
effective api recommendation without historical software repositories,"Liu X., Huang L., Ng V., Effective API recommendation without historical software repositories, Proc. 33rd ACM/IEEE Int. Conf. Automated Softw. Eng., pp. 282-292, (2018)"
investigating next steps in static api-misuse detection,"Sven A., Nguyen H. A., Nadi S., Nguyen T. N., Mezini M., Investigating next steps in static api-misuse detection, Proceedings of the 2019 16th IEEE/ACM International Conference on Mining Software Repositories, pp. 265-275, (2019)"
parameter-free probabilistic api mining across github,"Fowkes J., Sutton C., Parameter-free probabilistic API mining across GitHub, . In: Proceedings of the 2016 24Th ACM SIGSOFT International Symposium on Foundations of Software Engineering (FSE 2016)., pp. 254-265, (2016)"
rack: automatic api recommendation using crowdsourced knowledge,"Rahman M. M., Roy C. K., Lo D., Rack: Automatic api recommendation using crowdsourced knowledge, Proceedings of the 2016 23rd IEEE International Conference on Software Analysis, Evolution, and Reengineering, 1, pp. 349-359, (2016)"
learning to recommend third-party library migration opportunities at the api level,"Alrubaye H., Mkaouer M. W., Khokhlov I., Reznik L., Ouni A., Mcgoff J., Learning to recommend third-party library migration opportunities at the api level, Applied Soft Computing, 90, pp. 1-12, (2020)"
mining api mapping for language migration,"Zhong H., Thummalapenta S., Xie T., Zhang L., Wang Q., Mining API mapping for language migration, Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering, 1, pp. 195-204, (2010)"
biker: a tool for bi-information source based api method recommendation,"Cai L., Wang H., Huang Q., Xia X., Xing Z., Lo D., Biker: a tool for bi-information source based api method recommendation, Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering, pp. 1075-1079, (2019)"
mining succinct and high-coverage api usage patterns from source code,"Wang J., Dang Y., Zhang H., Chen K., Xie T., Zhang D., Mining succinct and high-coverage API usage patterns from source code, Proc. 10th Work. Conf. Mining Softw. Repositories, pp. 319-328, (2013)"
bayesian specification learning for finding api usage errors,"Murali V., Chaudhuri S., Jermaine C., Bayesian specification learning for finding api usage errors, ESEC/FSE, pp. 151-162, (2017)"
path-based function embedding and its application to error-handling specification mining,"DeFreez D., Thakur A.V., Rubio-Gonzalez C., Path-based function embedding and its application to error-handling specification mining, ESEC/FSE, pp. 423-433, (2018)"
meditor: inference and application of api migration edits,"Xu S., Dong Z., Meng N., Meditor: inference and application of api migration edits, Proceedings of the 2019 27th IEEE/ACM International Conference on Program Comprehension, pp. 335-346, (2019)"
active learning of discriminative subgraph patterns for api misuse detection,"Kang H. J., Lo D., Active learning of discriminative subgraph patterns for api misuse detection, IEEE Transactions on Software Engineering, (2021)"
exploring api embedding for api usages and applications,"Nguyen Trong Duc, Nguyen Anh Tuan, Phan Hung Dang, Nguyen Tien N., Exploring api embedding for api usages and applications, Proceedings of the 39th International Conference on Software Engineering, ICSE'17, pp. 438-449, (2017)"
bcc: enhancing code completion for better api usability,"Pletcher D.M., Hou D., BCC: Enhancing code completion for better API usability, Proc. IEEE Int. Conf. Softw. Maintenance, pp. 393-394, (2009)"
mining likely analogical apis across third-party libraries via large-scale unsupervised api semantics embedding,"Chen C., Xing Z., Liu Y., Ong K. L. X., Mining likely analogical apis across third-party libraries via large-scale unsupervised api semantics embedding, IEEE Transactions on Software Engineering, (2019)"
api method recommendation without worrying about the task-api knowledge gap,"Huang Q., Xia X., Xing Z., Lo D., Wang X., API method recommendation without worrying about the task-API knowledge gap, 2018 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 293-304, (2018)"
identifier-based context-dependent api method recommendation,"Heinemann L., Bauer V., Herrmannsdoerfer M., Hummel B., Identifier-based context-dependent API method recommendation, Proc. 16th Eur. Conf. Softw. Maintenance Reeng., pp. 31-40, (2012)"
generative api usage code recommendation with parameter concretization,"Chen C., Et al., Generative API usage code recommendation with parameter concretization, SCIENCE CHINA Inf. Sci., 62, 9, pp. 1921031-19210322, (2019)"
mining temporal specifications from object usage,"Wasylkowski A., Zeller A., Mining temporal specifications from object usage, Automated Software Engineering, 18, 3, pp. 263-292, (2011)"
api code recommendation using statistical learning from fine-grained changes,"Nguyen A.T., Hilton M., Codoban M., Nguyen H.A., Mast L., Rademacher E., Nguyen T.N., Dig D., Api code recommendation using statistical learning from fine-grained changes, Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering, pp. 511-522, (2016)"
graph neural network based collaborative filtering for api usage recommendation,"Ling C., Zou Y., Xie B., Graph neural network based collaborative filtering for api usage recommendation, Proceedings of the 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering, pp. 36-47, (2021)"
heuristic and neural network based prediction of project-specific api member access,"Jiang L., Liu H., Jiang H., Zhang L., Mei H., Heuristic and neural network based prediction of project-specific api member access, IEEE Trans. Softw. Eng., (2020)"
apimisuse detection driven by fine-grained api-constraint knowledge graph,"Ren X., Ye X., Xing Z., Xia X., Xu X., Zhu L., Sun J., Apimisuse detection driven by fine-grained api-constraint knowledge graph, Proceedings of the 2020 35th IEEE/ACM International Conference on Automated Software Engineering, pp. 461-472, (2020)"
graph-based mining of multiple object usage patterns,"Nguyen T.T., Nguyen H.A., Pham N.H., Al-Kofahi J.M., Nguyen T.N., Graph-based mining of multiple object usage patterns, ESEC/FSE, pp. 383-392, (2009)"
portfolio: finding relevant functions and their usage,"McMillan C., Grechanik M., Poshyvanyk D., Xie Q., Fu C., Portfolio: finding relevant functions and their usage, Proceedings of the 33rd International Conference on Software Engineering, ICSE 2011, pp. 111-120, (2011)"
focus: a recommender system for mining api function calls and usage patterns,"Nguyen P. T., Di Rocco J., Di Ruscio D., Ochoa L., Degueule T., Di Penta M., Focus: A recommender system for mining api function calls and usage patterns, Proceedings of the 2019 41st IEEE/ACM International Conference on Software Engineering, pp. 1050-1060, (2019)"
an efficient procedure for mining egocentric temporal motifs,"Longa A., Cencetti G., Lepri B., Passerini A., An efficient procedure for mining egocentric temporal motifs, Data Min. Knowl. Disc., 36, 1, pp. 355-378, (2022)"
the promises and perils of mining github,"Kalliamvakou E., Gousios G., Blincoe K., Singer L., German D.M., Damian D., The Promises and Perils of Mining GitHub, Proceedings of the 11th Working Conference on Mining Software Repositories (Hyderabad, India), pp. 92-101, (2014)"
lightweight global and local contexts guided method name recommendation with prior knowledge,"Wang S., Wen M., Lin B., Mao X., Lightweight global and local contexts guided method name recommendation with prior knowledge, Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE). ACM, pp. 741-753, (2021)"
towards a better code completion system by api grouping,"Hou D., Pletcher D.M., Towards a better code completion system by API grouping, filtering, and popularity-based ranking, Proc. 2nd Int. Workshop Recommendation Syst. Softw. Eng., pp. 26-30, (2010)"
hirec: api recommendation using hierarchical context,"Xie R., Kong X., Wang L., Zhou Y., Li B., Hirec: Api recommendation using hierarchical context, Proceedings of the 2019 30th IEEE International Symposium on Software Reliability Engineering, pp. 369-379, (2019)"
detecting object usage anomalies,"Wasylkowski A., Zeller A., Lindig C., Detecting object usage anomalies, Proceedings of the the 6th joint meeting of the European software engineering conference and the ACM SIGSOFT symposium on The foundations of software engineering, pp. 35-44, (2007)"
improving api usage through automatic detection of redundant code,"Kawrykow D., Robillard M.P., Improving api usage through automatic detection of redundant code, IEEE/ACM International Conference on Automated Software Engineering (ASE). IEEE, (2009)"
mapo: mining and recommending api usage patterns,"Zhong H., Xie T., Zhang L., Pei J., Mei H., Mapo: Mining and recommending api usage patterns, ECOOP 2009-Object-Oriented Programming, pp. 318-343, (2009)"
parameter-free probabilistic api mining at github scale,"Fowkes J., Sutton C., Parameter-Free Probabilistic Api Mining at Github Scale, (2015)"
embedding code contexts for cryptographic api suggestion: new methodologies and comparisons,"Xiao Y., Ahmed S., Song W., Ge X., Viswanath B., Yao D., Embedding code contexts for cryptographic api suggestion: New methodologies and comparisons, (2021)"
