Title,Full Reference
preventing erosion in exception handling design using static-architecture conformance checking,"Filho J.L.M., Rocha L., Andrade R., Britto R., Preventing erosion in exception handling design using static-architecture conformance checking, ECSA, pp. 67-83, (2017)"
specifying and dynamically monitoring the exception handling policy,"Abrantes J., Coelho R., Specifying and dynamically monitoring the exception handling policy, SEKE, pp. 370-374, (2015)"
understanding the exception handling strategies of java libraries: an empirical study,"Sena D., Coelho R., Kulesza U., Bonifacio R., Understanding the exception handling strategies of java libraries: An empirical study, MSR, pp. 212-222, (2016)"
learning to handle exceptions,"Zhang J., Wang X., Zhang H., Sun H., Pu Y., Liu X., Learning to handle exceptions, Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering, pp. 29-41, (2020)"
a study on developers' perceptions about exception handling bugs,"Ebert F., Castor F., A study on developers' perceptions about exception handling bugs, ICSM, pp. 448-451, (2013)"
issues with exception handling in object-oriented systems,"Miller R., Tripathi A., Issues with exception handling in object-oriented systems, ECOOP, pp. 85-103, (1997)"
studying the use of java logging utilities in the wild,"Chen B., Ming Jiang Z., Studying the use of Java logging utilities in the wild, 2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE). 397-408, (2020)"
improving developers awareness of the exception handling policy,"Montenegro T., Melo H., Coelho R., Barbosa E., Improving developers awareness of the exception handling policy, SANER, pp. 413-422, (2018)"
enforcing exception handling policies with a domain-specific language,"Barbosa E.A., Garcia A., Robillard M.P., Jakobus B., Enforcing exception handling policies with a domain-specific language, IEEE Transactions on Software Engineering, 42, 6, pp. 559-584, (2016)"
an exploratory study on exception handling bugs in java programs,"Ebert F., Castor F., Serebrenik A., An exploratory study on exception handling bugs in Java programs, Journal of Systems and Software, 106, pp. 82-101, (2015)"
exception handling: issues and a proposed notation,"Goodenough J.B., Exception handling: Issues and a proposed notation, Communications of the ACM, 18, 12, pp. 683-696, (1975)"
"exception beyond exception: crashing android system by trapping in""uncaughtexception","Wu J., Liu S., Ji S., Yang M., Luo T., Wu Y., Wang Y., Exception beyond exception: Crashing android system by trapping in""uncaughtexception, ICSE-SEIP, pp. 283-292, (2017)"
contrasting exception handling code across languages: an experience report involving 50 open source projects,"Jakobus B., Barbosa E.A., Garcia A., De Lucena C.J.P., Contrasting exception handling code across languages: An experience report involving 50 open source projects, ISSRE, pp. 183-193, (2015)"
toward exception-handling best practices and patterns,"Wirfs-Brock R.J., Toward exception-handling best practices and patterns, IEEE Software, 23, 5, pp. 11-13, (2006)"
analysis of exception handling patterns in java projects: an empirical study,"Nakshatri S., Hegde M., Thandra S., Analysis of exception handling patterns in Java projects: An empirical study, MSR, pp. 500-503, (2016)"
understanding exception handling: viewpoints of novices and experts,"Shah H., Gorg C., Harrold M.J., Understanding exception handling: Viewpoints of novices and experts, IEEE Transactions on Software Engineering, 36, 2, pp. 150-161, (2010)"
assessing the impact of aspects on exception flows: an exploratory study,"Coelho R., Rashid A., Garcia A., Ferrari F., Cacho N., Kulesza U., Von Staa A., Lucena C., Assessing the impact of aspects on exception flows: An exploratory study, ECOOP, pp. 207-234, (2008)"
mining exception-handling rules as,"Thummalapenta S., Xie T., Mining exception-handling rules as"
