Title,Full Reference
students’ misconceptions and other difficulties in introductory programming: a literature review,"QIAN Y., LEHMAN J., Students’ misconceptions and other difficulties in introductory programming: A literature review, ACM Transactions on Computing Education, 18, 1, pp. 1-25, (2017)"
learning and teaching programming: a review and discussion,"ROBINS A., ROUNTREE J., ROUNTREE N., Learning and teaching programming: A review and discussion, Computer Science Education, 13, 2, pp. 137-172, (2003)"
a short introduction to learning to rank,"Li H., A short introduction to learning to rank, IEICE Transactions on Information and Systems, 94, 10, pp. 1854-1862, (2011)"
programming with big code: lessons,"Bielik P., Raychev V., Vechev M., Programming with big code: Lessons, techniques and applications, SNAPL, pp. 1-10, (2015)"
"trogramrning with ""big code"" lessons","Bielik P., Raychev V., Vechev M., Trogramrning with ""big code"" Lessons, techniques and applications, SNAPL, pp. 1-10, (2015)"
collection: programming languages,"Collection: Programming Languages, (2022)"
studying the language and structure in non-programmers' solutions to programming problems,"Pane J.F., Ann Ratanamahatana C., Myers B.A., Studying the language and structure in non-programmers' solutions to programming problems, Int. J. Hum. Comput. Stud., 54, 2, pp. 237-264, (2001)"
unified pre-training for program understanding and generation,"Ahmad Wasi, Chakraborty Saikat, Ray Baishakhi, Chang Kai-Wei, Unified pre-training for program understanding and generation, Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 2655-2668, (2021)"
literate programming,"Knuth D.E., Literate Programming, Comput. J, 27, pp. 97-111, (1984)"
"programming with ""big code","Yahav E., Programming with ""big code, APLAS, pp. 3-8, (2015)"
