Title,Full Reference
cloudraid: hunting concurrency bugs in the cloud via log-mining,"Lu J., Li F., Li L., Feng X., Cloudraid: Hunting concurrency bugs in the cloud via log-mining, Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE). 3-14, (2018)"
binsim: trace-based semantic binary diffing via system call sliced segment equivalence checking,"Ming J., Xu D., Jiang Y., Wu D., BinSim: Trace-based semantic binary diffing via system call sliced segment equivalence checking, 26th Usenix Security Symposium (USENIX Security 17), pp. 253-270, (2017)"
antminer: mining more bugs by reducing noise interference,"Liang B., Bian P., Zhang Y., Shi W., You W., Cai Y., Antminer: Mining more bugs by reducing noise interference, 2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE), pp. 333-344, (2016)"
samplefix: learning to correct programs by sampling diverse fixes,"Hajipour H., Bhattacharya A., Fritz M., Samplefix: Learning to correct programs by sampling diverse fixes, (2019)"
finding bugs is easy,"Hovemeyer D., Pugh W., Finding bugs is easy, OOPSLA, pp. 92-106, (2004)"
cnn-based automatic prioritization of bug reports[j],"Umer Q., Liu H., Illahi I., CNN-based automatic prioritization of bug reports[J], IEEE Trans. Reliab., 69, 4, pp. 1341-1354, (2019)"
understanding and detecting real-world performance bugs,"Jin G., Song L., Shi X., Scherpelz J., Lu S., Understanding and detecting real-world performance bugs, SIGPLAN Not., 47, 6, pp. 77-88, (2012)"
"mining behavior graphs for ""backtrace"" of noncrashing bugs","Liu C., Yan X., Yu H., Han J., Yu P. S., Mining behavior graphs for ""backtrace"" of noncrashing bugs, Proceedings of the 2005 SIAM international conference on data mining. SIAM, pp. 286-297, (2005)"
towards standardizing and improving classification of bug-fix commits,"Zafar S., Zubair Malik M., Singh Walia G., Towards standardizing and improving classification of bug-fix commits, 2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM). IEEE, pp. 1-6, (2019)"
identification of security related bug reports via text mining using supervised and unsupervised classification,"Goseva-Popstojanova K., Tyo J., Identification of security related bug reports via text mining using supervised and unsupervised classification, 2018 Ieee International Conference on Software Quality, Reliability and Security (QRS), pp. 344-355, (2018)"
findbugs,"Findbugs, (2019)"
static detection of leaks in polymorphic containers,"Heine D.L., Lam M.S., Static detection of leaks in polymorphic containers, Proceedings of the 28th International Conference on Software Engineering (ICSE’06), pp. 252-261, (2006)"
automated classification of overfitting patches with statically extracted code features,"Ye H., Gu J., Martinez M., Durieux T., Monperrus M., Automated classification of overfitting patches with statically extracted code features, IEEE Transactions on Software Engineering, (2021)"
uqbtng: a tool capable of automatically nding integer overows in win32 binaries,"Wojtczuk R., UQBTng: a tool capable of automatically nding integer overows in Win32 binaries, Proceedings of Chaos Communication Congress, (2005)"
pr-miner: automatically extracting implicit programming rules and detecting violations in large software code,"Li Z., Zhou Y., Pr-miner: automatically extracting implicit programming rules and detecting violations in large software code, ACM SIGSOFT Softw. Eng. Notes, 30, 5, pp. 306-315, (2005)"
discovre: efficient cross-architecture identification of bugs in binary code,"Eschweiler S., Yakdan K., Gerhards-Padilla E., discovre: Efficient cross-architecture identification of bugs in binary code, Network and Distributed System Security Symposium (NDSS), (2016)"
