Title,Full Reference
distributed representations of sentences and documents,"Le Q.V., Mikolov T., Distributed representations of sentences and documents, Proceedings of the 31st International Conference on Machine Learning. JMLR.org, pp. 1188-1196, (2014)"
reinforcement learning based graph-to-sequence model for natural question generation. proceedings of the 8th international conference on learning representations,"Chen Y., Wu L., Zaki M.J., Reinforcement learning based graph-to-sequence model for natural question generation. Proceedings of the 8th International Conference on Learning Representations"
neural machine translation by jointly learning to align and translate. in 3rd international conference on learning representations,"Bahdanau D., Cho K., Bengio Y., Neural machine translation by jointly learning to align and translate. In 3rd International Conference on Learning Representations, ICLR, 2015, San Diego, CA, USA, May 7–9, 2015, (2015)"
enriching word vectors with subword information,"Bojanowski P., Grave E., Joulin A., Mikolov T., Enriching word vectors with subword information, Transactions of the Association for Computational Linguistics, 5, pp. 135-146, (2017)"
a vector space model for automatic indexing,"Salton G., Wong A., Yang C., A vector space model for automatic indexing, Commun. ACM, 18, 11, pp. 613-620, (1975)"
distributed representations of words and phrases and their compositionality,"Mikolov T., Sutskever I., Chen K., Corrado G.S., Dean J., Distributed Representations of Words and Phrases and their Compositionality, 27th Annual Conference on Neural Information Processing Systems (NIPS), pp. 3111-3119, (2013)"
efficient estimation of word representations in vector space. 1st international conference on learning representations,"Mikolov T., Chen K., Corrado G., Dean J., Efficient estimation of word representations in vector space. 1st International Conference on Learning Representations, ICLR 2013 - Workshop Track Proceedings, 1301, (2013)"
glove: global vectors for word representation,"Pennington J., Socher R., Manning C.D., Glove: Global vectors for word representation, Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP)., pp. 1532-1543, (2014)"
distributed representations of words and phrases and their compositionality. proceedings of the 26th international conference on neural information processing systems,"Mikolov T., Sutskever I., Chen K., Corrado G.S., Dean J., Distributed representations of words and phrases and their compositionality. Proceedings of the 26th International Conference on Neural Information Processing Systems, vol. 26"
graph-based neural multi-document summarization,"Yasunaga M., Zhang R., Meelu K., Pareek A., Srinivasan K., Radev D. R., Graph-based neural multi-document summarization, CoNLL, (2017)"
auto-vectorization of interleaved data for simd,"Nuzman D., Rosen I., Zaks A., Auto-vectorization of interleaved data for simd, ACM SIGPLAN Notices, 41, 6, pp. 132-143, (2006)"
graph-augmented learning to rank for querying large-scale knowledge graph. proceedings of the 2nd conference of the asia-pacific chapter of the association for computational linguistics and the 12th international joint conference on natural language processing,"Gao H., Wu L., Hu P., Wei Z., Xu F., Long B., Graph-augmented learning to rank for querying large-scale knowledge graph. Proceedings of the 2nd Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 12th International Joint Conference on Natural Language Processing"
generating robust parsers using island grammars,"Moonen L., Generating robust parsers using island grammars, Reverse Engineering 2001. Proceedings. Eighth Working Conference On IEEE, pp. 13-22, (2001)"
structured neural summarization,"Fernandes P., Allamanis M., Brockschmidt M., Structured neural summarization, 7Th International Conference on Learning Representations, pp. 1-18, (2019)"
quantifying the contextualization of word representations with semantic class probing,"Zhao M., Dufter P., Yaghoobzadeh Y., Schutze H., Quantifying the Contextualization of Word Representations with Semantic Class Probing, Findings of the Association for Computational Linguistics: EMNLP 2020., pp. 1219-1234, (2020)"
efficient estimation of word representations in vector space,"Mikolov T., Chen K., Corrado G., Dean J., Efficient estimation of word representations in vector space, 1st International Conference on Learning Representations, ICLR 2013-Workshop Track Proceedings, pp. 1-12, (2013)"
efficient estimation of word representations in vector space. arxiv preprint arxiv,"Mikolov T., Chen K., Corrado G., Dean J., Efficient Estimation of Word Representations in Vector Space. Arxiv Preprint Arxiv, 1301, (2013)"
what you can cram into a single vector: probing sentence embeddings for linguistic properties,"Conneau A., Kruszewski G., Lample G., Barrault L., Baroni M., What you can cram into a single vector: Probing sentence embeddings for linguistic properties, Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (1: Long Papers), pp. 2126-2136, (2018)"
parsing with compositional vector grammars,"Socher R., Bauer J., Manning C.D., Ng A.Y., Parsing with compositional vector grammars, Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)., pp. 455-465, (2013)"
structured neural summarization. international conference on learning representations,"Fernandes P., Allamanis M., Brockschmidt M., Structured neural summarization. International conference on learning representations, (2019)"
a structured self-attention sentence embedding. 5th international conference on learning representations,"Lin Z., Feng M., Dos Santos C.N., Yu M., Xiang B., Zhou B., Bengio Y., A structured self-attention sentence embedding. 5th International Conference on Learning Representations, ICLR 2017 - Conference Track Proceedings, 1-15, 1703, (2017)"
deep contextualized word representations,"Peters M., Neumann M., Iyyer M., Gardner M., Clark C., Lee K., Zettlemoyer L., Deep contextualized word representations, NAACL, (2018)"
efficient estimation of word representations in vector space. iclr workshop track proceedings,"Mikolov T., Chen K., Corrado G., Dean J., Efficient estimation of word representations in vector space. ICLR Workshop Track Proceedings"
a hierarchical self-attentive neural extractive summarizer via reinforcement learning (hsasrl),"Mohsen F., Wang J., Al-Sabahi K., A hierarchical self-attentive neural extractive summarizer via reinforcement learning (hsasrl), Applied Intelligence, pp. 1-14, (2020)"
keywords-guided abstractive sentence summarization,"Li H., Zhu J., Zhang J., Zong C., He X., Keywords-guided abstractive sentence summarization, Proceedings of the AAAI Conference on Artificial Intelligence, 34, 5, pp. 8196-8203, (2020)"
