Title,Full Reference
on multi-modal learning of editing source code,"Chakraborty S., Ray B., On multi-modal learning of editing source code, ASE, pp. 443-455, (2021)"
a language-independent analysis platform for source code,"Weiss K., Banse C., A Language-Independent Analysis Platform for Source Code, (2022)"
using structural context to recommend source code examples,"Holmes R., Murphy G.C., Using structural context to recommend source code examples, Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005, pp. 117-125, (2005)"
idbench: evaluating semantic representations of identifier names in source code,"Wainakh Y., Rauf M., Pradel M., IdBench: Evaluating semantic representations of identifier names in source code, International Conference on Software Engineering. IEEE, pp. 562-573, (2021)"
a framework for source code search using program patterns,"Paul S., Prakash A., A framework for source code search using program patterns, IEEE Transactions on Software Engineering, 20, 6, pp. 463-475, (1994)"
large-scale and languageoblivious code authorship identification,"Abuhamad M., AbuHmed T., Mohaisen A., Nyang D., Large-scale and languageoblivious code authorship identification, Proceedings of the ACM SIGSAC Conference on Computer and Communications Security, pp. 101-114, (2018)"
source code authorship attribution using long short-term memory based networks,"Alsulami B., Dauber E., Harang R., Mancoridis S., Greenstadt R., Source code authorship attribution using long short-term memory based networks, European Symposium on Research in Computer Security, pp. 65-82, (2017)"
learning and evaluating contextual embedding of source code,"Kanade A., Maniatis P., Balakrishnan G., Shi K., Learning and Evaluating Contextual Embedding of Source Code, pp. 5110-5121, (2020)"
pretrained contextual embedding of source code,"Kanade A., Maniatis P., Balakrishnan G., Shi K., Pretrained Contextual Embedding of Source Code, (2020)"
source code authorship attribution using file embeddings,"Bogdanova A., Source code authorship attribution using file embeddings, Proc. ACM SIGPLAN Int. Conf. Syst., Program., Lang., Appl., Softw. Hum., pp. 31-33, (2021)"
on the use of domain terms in source code,"Haiduc S., Marcus A., On the use of domain terms in source code, 2008 16th IEEE International Conference on Program Comprehension, pp. 113-122, (2008)"
fine-grained and accurate source code differencing,"Falleri J., Morandat F., Blanc X., Martinez M., Monperrus M., Fine-grained and accurate source code differencing, Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering., pp. 313-324, (2014)"
semantic source code models using identifier embeddings,"Efstathiou V., Spinellis D., Semantic source code models using identifier embeddings, 2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR), pp. 29-33, (2019)"
generating performance bounds from source code,"Narayanan S.H.K., Norris B., Hovland P.D., Generating performance bounds from source code, 2010 39th International Conference on Parallel Processing Workshops, pp. 197-206, (2010)"
