Title,Full Reference
an eclipse plug-in for the detection of design pattern instances through static and dynamic analysis,"De Lucia A., Deufemia V., Gravino C., Risi M., An Eclipse plug-in for the detection of design pattern instances through static and dynamic analysis, 26th Ieee International Conference on Software Maintenance (ICSM 2010), pp. 1-6, (2010)"
identification of behavioural and creational design motifs through dynamic analysis,"Ka-Yee Ng J., Gueheneuc Y., Antoniol G., Identification of behavioural and creational design motifs through dynamic analysis, Journal of Software Maintenance and Evolution: Research and Practice 22, 8, pp. 597-627, (2010)"
evaluation of accuracy in design pattern occurrence detection,"Pettersson N., Lowe W., Nivre J., Evaluation of Accuracy in Design Pattern Occurrence Detection, Ieee Trans. Softw. Eng., 36, 4, pp. 575-590, (2010)"
detecting the behavior of design patterns through model checking and dynamic analysis,"De Lucia A., Deufemia V., Gravino C., Risi M., Detecting the Behavior of Design Patterns through Model Checking and Dynamic Analysis, Acm Trans. Softw. Eng. Methodol., 26, 4, (2018)"
an approach for reverse engineering of design patterns,"Philippow I., Streitferdt D., Riebisch M., Naumann S., An approach for reverse engineering of design patterns, Software and System Modeling, 4, 1, pp. 55-70, (2005)"
a rule-based procedure for automatic recognition of design patterns in uml diagrams,"Di Martino B., Esposito A., A rule-based procedure for automatic recognition of design patterns in UML diagrams, Software: Practice and Experience, 46, 7, pp. 983-1007, (2016)"
design pattern detection using similarity scoring,"Tsantalis N., Chatzigeorgiou A., Stephanides G., Halkidis S.T., Design Pattern Detection Using Similarity Scoring, Ieee Transactions on Software Engineering, 32, 11, pp. 896-909, (2006)"
design pattern recovery based on annotations,"Rasool G., Philippow I., Mader P., Design pattern recovery based on annotations, Adv. Eng. Softw., 41, 4, pp. 519-526, (2010)"
pattern recognition,""
reverse engineering method stereotypes,"Dragan N., Collard M.L., Maletic J.I., Reverse engineering method stereotypes, 2006 22nd IEEE International Conference on Software Maintenance. IEEE, pp. 24-34, (2006)"
design pattern detection based on the graph theory,"Bafandeh Mayvan B., Rasoolzadegan A., Design Pattern Detection Based on the Graph Theory, Know.-Based Syst., 120, C, pp. 211-225, (2017)"
a comprehensive approach to the recovery of design pattern instances based on sub-patterns and method signatures,"Yu D., Zhang Y., Chen Z., A comprehensive approach to the recovery of design pattern instances based on sub-patterns and method signatures, Journal of Systems and Software, 103, pp. 1-16, (2015)"
design pattern detection using a dsl-driven graph matching approach,"Luca Bernardi M., Cimitile M., Di Lucca G., Design pattern detection using a DSL-driven graph matching approach, Journal of Software: Evolution and Process 26, 12, pp. 1233-1266, (2014)"
demima: a multilayered approach for design pattern identification,"Gueheneuc Y.G., Antoniol G., DeMIMA: A Multilayered Approach for Design Pattern Identification, Ieee Transactions on Software Engineering, 34, 5, pp. 667-684, (2008)"
model checking to improve precision of design pattern instances identification in oo systems,"Luca Bernardi M., Cimitile M., De Ruvo G., Lucca Di G.A., Santone A., Model Checking to Improve Precision of Design Pattern Instances Identification in OO Systems, Proceedings of the 10th International Conference on Software Paradigm Trends -Volume 1: ICSOFT-PT, (ICSOFT 2015)., pp. 53-63, (2015)"
dpjf -design pattern detection with high accuracy,"Binun A., Kniesel G., DPJF -Design Pattern Detection with High Accuracy, 2012 16th European Conference on Software Maintenance and Reengineering., pp. 245-254, (2012)"
a static reference flow analysis to understand design pattern behavior,"Park C., Kang Y., Wu C., Yi K., A Static Reference Flow Analysis to Understand Design Pattern Behavior, 11th Working Conference on Reverse Engineering, Wcre 2004, Delft, the Netherlands, November 8-12, 2004., pp. 300-301, (2004)"
verifying behavioral correctness of design pattern implementation,"Peng T., Dong J., Zhao Y., Verifying Behavioral Correctness of Design Pattern Implementation, Proceedings of the Twentieth International Conference on Software Engineering & Knowledge Engineering (SEKE'2008), San Francisco, CA, USA, July 1-3, 2008, pp. 454-459, (2008)"
improving design patterns finder precision using a model checking approach,"Luca Bernardi M., Cimitile M., De Ruvo G., Lucca Di G.A., Santone A., Improving Design Patterns Finder Precision Using a Model Checking Approach, Proceedings of the CAiSE 2015 Forum at the 27th International Conference on Advanced Information Systems Engineering Co-located with 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015), 1367, pp. 113-120, (2015)"
