Title,Full Reference
rusty1s/pytorch geometric: geometric deep learning extension library for pytorch,Rusty1s/pytorch Geometric: Geometric Deep Learning Extension Library for PyTorch
context2name: a deep learning-based approach to infer natural variable names from usage contexts,"Bavishi R., Pradel M., Sen K., Context2Name: A deep learning-based approach to infer natural variable names from usage contexts, (2018)"
nl2type: inferring javascript function types from natural language information,"Malik Rabee Sohail, Patra Jibesh, Pradel Michael, Nl2type: inferring javascript function types from natural language information, Proceedings of the 41st International Conference on Software Engineering, pp. 304-315, (2019)"
data-driven hint generation in vast solution spaces: a self-improving python programming tutor,"RIVERS K., KOEDINGER K. R., Data-driven hint generation in vast solution spaces: a self-improving python programming tutor, International Journal of Artificial Intelligence in Education, 27, 1, pp. 37-64, (2017)"
typilus: neural type hints,"Allamanis M., Barr E.T., Ducousso S., Gao Z., Typilus: Neural type hints, Proceedings of the 41st acm sigplan conference on programming language design and implementation, pp. 91-105, (2020)"
the continuous hint factory - providing hints in vast and sparsely populated edit distance spaces,"PAASSEN B., HAMMER B., PRICE T., BARNES T., GROSS S., PINKWART N., The continuous hint factory - providing hints in vast and sparsely populated edit distance spaces, Journal of Educational Data Mining, 10, 1, pp. 1-35, (2018)"
pyart: python api recommendation in real-time,"He X., Xu L., Zhang X., Hao R., Feng Y., Xu B., Pyart: Python api recommendation in real-time, ICSE, pp. 1634-1645, (2021)"
domain types: abstract-domain selection based on variable usage,"Apel S., Beyer D., Friedberger K., Raimondi F., von Rhein A., Domain types: Abstract-domain selection based on variable usage, HVC, LNCS, 8244, pp. 262-278, (2013)"
typewriter: neural type prediction with search-based validation,"Pradel M., Gousios G., Liu J., Chandra S., Typewriter: Neural type prediction with search-based validation, (2019)"
manytypes4typescript: a comprehensive typescript dataset for sequence-based type inference,"Jesse K., Devanbu P.T., Manytypes4typescript: A comprehensive typescript dataset for sequence-based type inference, 2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR), pp. 294-298, (2022)"
learning python code suggestion with a sparse pointer network,"Bhoopchand A., Rocktaschel T., Barr E., Riedel S., Learning Python Code Suggestion with A Sparse Pointer Network, (2016)"
scikit-learn: machine learning in python,"Pedregosa F., Et al., Scikit-learn: Machine learning in Python, J. Mach. Learn. Res., 12, pp. 2825-2830, (2011)"
dltpy: deep learning type inference of python function signatures using natural language context,"Boone C., De Bruin N., Langerak A., Stelmach F., Dltpy: Deep Learning Type Inference of Python Function Signatures Using Natural Language Context, (2019)"
