Title,Full Reference
diffusion kernels on graphs and other discrete structures,"Kondor R., Lafferty J.D., Diffusion kernels on graphs and other discrete structures, ICML, pp. 315-322, (2002)"
neural message passing for quantum chemistry,"Gilmer J., Schoenholz S.S., Riley P.F., Et al., Neural message passing for quantum chemistry [C], International conference on machine learning. PMLR, pp. 1263-1272, (2017)"
shortest-path kernels on graphs,"Borgwardt K.M., Kriegel H.-P., Shortest-path kernels on graphs, Data Mining, Fifth IEEE International Conference on, (2005)"
on graph kernels: hardness results and efficient alternatives,"Gartner T., Flach P.A., Wrobel S., On graph kernels: Hardness results and efficient alternatives, Colt/Kernel, LNCS, 2777, pp. 129-143, (2003)"
graph kernels for chemical informatics,"Ralaivola L., Swamidass S.J., Saigo H., Baldi P., Graph kernels for chemical informatics, Neural Netw., 18, 8, pp. 1093-1110, (2005)"
deep graph kernels,"Yanardag P., Vishwanathan S., Deep graph kernels, Proceedings of the 21th ACM SIGKDD International Conference On Knowledge Discovery and Data Mining, pp. 1365-1374, (2015)"
on lines and planes of closest fit to systems of points in space,"PEARSON K., On lines and planes of closest fit to systems of points in space, The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science, 2, 11, pp. 559-572, (1901)"
partial order embedding with multiple kernels,"McFee B., Lanckriet G., Partial Order Embedding with Multiple Kernels, Proceedings of the 26th Annual International Conference on Machine Learning (ICML '09)., pp. 721-728, (2009)"
weisfeiler–lehman graph kernels,"Shervashidze N., Schweitzer P., van Leeuwen E.J., Mehlhorn K., Borgwardt K.M., Weisfeiler–Lehman graph kernels, J. Mach. Learn. Res., 12, pp. 2539-2561, (2011)"
time series prediction for graphs in kernel and dissimilarity spaces,"PAASSEN B., GOPFERT C., HAMMER B., Time series prediction for graphs in kernel and dissimilarity spaces, Neural Processing Letters, 48, 2, pp. 669-689, (2018)"
marginalized kernels between labeled graphs,"Kashima H., Tsuda K., Inokuchi A., Marginalized kernels between labeled graphs, ICML, pp. 321-328, (2003)"
