Title,Full Reference
skyfire: data-driven seed generation for fuzzing,"Wang J., Chen B., Wei L., Liu Y., Skyfire: Data-driven seed generation for fuzzing, 2017 IEEE Symposium on Security and Privacy (SP), pp. 579-594, (2017)"
libfuzzer-a library for coverage-guided fuzz testing,"libFuzzer-a library for coverage-guided fuzz testing, (2021)"
learn&fuzz: machine learning for input fuzzing,"Godefroid P., Peleg H., Singh R., Learn&fuzz: Machine learning for input fuzzing, 2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE). IEEE, pp. 50-59, (2017)"
iotfuzzer: discovering memory corruptions in iot through app-based fuzzing,"Chen J., Diao W., Zhao Q., Zuo C., Lin Z., Wang X., Cheong Lau W., Sun M., Yang R., Zhang K., IoTFuzzer: Discovering memory corruptions in iot through app-based fuzzing, 25th Annual Network and Distributed System Security Symposium, Ndss 2018, (2018)"
semfuzz: semantics-based automatic generation of proof-of-concept exploits,"You W., Zong P., Chen K., Wang X., Liao X., Bian P., Liang B., Semfuzz: Semantics-based automatic generation of proof-of-concept exploits, Proceedings of the 2017 Acm Sigsac Conference on Computer and Communications Security, Ccs '17, pp. 2139-2154, (2017)"
superion: grammar-aware greybox fuzzing,"Wang J., Chen B., Wei L., Liu Y., Superion: grammar-aware greybox fuzzing, Proceedings of the 41st International Conference on Software Engineering, pp. 724-735, (2019)"
hybrid fuzz testing: discovering software bugs via fuzzing and symbolic execution,"Pak B.S., Hybrid fuzz testing: Discovering software bugs via fuzzing and symbolic execution, School of Computer Science Carnegie Mellon University, (2012)"
collafl: path sensitive fuzzing,"Gan S., Zhang C., Qin X., Tu X., Li K., Pei Z., Chen Z., Collafl: Path sensitive fuzzing, 2018 IEEE Symposium on Security and Privacy, SP, pp. 679-696, (2018)"
razzer: finding kernel race bugs through fuzzing,"Jeong D.R., Kim K., Shivakumar B., Lee B., Shin I., Razzer: Finding kernel race bugs through fuzzing, 2019 IEEE Symposium on Security and Privacy (SP). IEEE, pp. 754-768, (2019)"
directed greybox fuzzing,"Bohme M., Pham V., Nguyen M., Roychoudhury A., Directed greybox fuzzing, Proceedings Ofthe 2017ACM SIGSAC Conference on Computer and Communications Security (CCS'I7)., pp. 2329-2344, (2017)"
ptrix: efficient hardware-assisted fuzzing for cots binary,"Chen Y., Et al., Ptrix: Efficient hardware-assisted fuzzing for cots binary, Proc. Acm Asia Conf. Comput. Commun. Secur, pp. 633-645, (2019)"
automated whitebox fuzz testing,"Godefroid P., Levin M., Molnar D., Automated whitebox fuzz testing, Network and Distributed System Security Symposium, (2008)"
typestate-guided fuzzer for discovering use-after-free vulnerabilities,"Wang H., Xie X., Li Y., Wen C., Li Y., Liu Y., Qin S., Chen H., Sui Y., Typestate-guided fuzzer for discovering use-after-free vulnerabilities, Proceedings of the 42nd International Conference on Software Engineering (ICSE’20), pp. 999-1010, (2020)"
program-adaptive mutational fuzzing,"Cha S.K., Woo M., Brumley D., Program-adaptive mutational fuzzing, 2015 IEEE Symposium on Security and Privacy. IEEE, pp. 725-741, (2015)"
hawkeye: towards a desired directed grey-box fuzzer,"Chen H., Xue Y., Li Y., Chen B., Xie X., Wu X., Yang L., Hawkeye: Towards a desired directed grey-box fuzzer, Proceedings Ofthe 2018ACM SIGSAC Conference on Computer and Communications Security (CCS'I8)., pp. 2095-2108, (2018)"
learning to fuzz: application-independent fuzz testing with probabilistic,"Patra J., Pradel M., Learning to Fuzz: Application-Independent Fuzz Testing with Probabilistic, Generative Models of Input Data, (2016)"
fuzzergym: a competitive framework for fuzzing and learning,"Drozd W., Wagner M.D., Fuzzergym: A competitive framework for fuzzing and learning, (2018)"
