Title,Full Reference
a new model for learning in graph domains [c],"Gori M., Monfardini G., Scarselli F., A new model for learning in graph domains [C], Proceedings. 2005 IEEE international joint conference on neural networks., 2, pp. 729-734, (2005)"
fault localization analysis based on deep neural network,"Zheng W., Hu D., Wang J., Fault localization analysis based on deep neural network, Mathematical Problems in Engineering, 2016, (2016)"
dynamic edge-conditioned filters in convolutional neural networks on graphs,"Simonovsky M., Komodakis N., Dynamic edge-conditioned filters in convolutional neural networks on graphs, Proceedings of the IEEE conference on computer vision and pattern recognition, pp. 3693-3702, (2017)"
effective use of word order for text categorization with convolutional neural networks,"Johnson R., Zhang T., Effective use of word order for text categorization with convolutional neural networks, Proceedings of the Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 103-112, (2015)"
graphgan: graph representation learning with generative adversarial nets,"Wang H., Wang J., Wang J., Zhao M., Zhang W., Zhang F., Xie X., Guo M., GraphGAN: Graph Representation Learning With Generative Adversarial Nets, Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence, (AAAI), the 30th innovative Applications of Artificial Intelligence (IAAI), and the 8th AAAI Symposium on Educational Advances in Artificial Intelligence (EAAI), pp. 2508-2515, (2018)"
ordered neurons: integrating tree structures into recurrent neural networks,"Shen Yikang, Tan Shawn, Sordoni Alessandro, Courville Aaron, Ordered neurons: Integrating tree structures into recurrent neural networks, International Conference on Learning Representations, (2019)"
understanding the difficulty of training deep feedforward neural networks,"Glorot X., Bengio Y., Understanding the difficulty of training deep feedforward neural networks, Proceedings of the thirteenth international conference on artificial intelligence and statistics (AISTATS). JMLR Workshop and Conference Proceedings, (2010)"
improving graph collaborative filtering with neighborhood-enriched contrastive learning,"Lin Z., Tian C., Hou Y., Xin Zhao W., Improving Graph Collaborative Filtering with Neighborhood-enriched Contrastive Learning, WWW, pp. 2320-2329, (2022)"
residual gated graph convnets,"Bresson X., Laurent T., Residual gated graph convnets, (2017)"
hyperbolic attention networks,"Gulcehre C., Denil M., Malinowski M., Razavi A., Pascanu R., Hermann K.M., Battaglia P., Bapst V., Raposo D., Santoro A., Et al., Hyperbolic Attention Networks, (2010)"
structured citation trend prediction using graph neural networks,"Cummings D., Nassar M., Structured citation trend prediction using graph neural networks, ICASSP 2020-2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), pp. 3897-3901, (2020)"
fast graph representation learning with pytorch geometric,"Fey M., Lenssen J.E., Fast graph representation learning with PyTorch Geometric, ICLR Workshop on Representation Learning on Graphs and Manifolds, (2019)"
unignn: a unified framework for graph and hypergraph neural networks,"Huang J., Yang J., Unignn: a unified framework for graph and hypergraph neural networks, IJCAI, (2021)"
sentiment classification with word localization based on weakly supervised learning with a convolutional neural network,"Lee G., Jeong J., Seo S., Kim C., Kang P., Sentiment classification with word localization based on weakly supervised learning with a convolutional neural network, Knowl.-Based Syst., 152, pp. 70-82, (2018)"
convolutional networks on graphs for learning molecular fingerprints,"Duvenaud D., Maclaurin D., Aguilera-Iparraguirre J., Gomez-Bombarelli R., Hirzel T., Aspuru-Guzik A., Adams R.P., Convolutional Networks on Graphs for Learning Molecular Fingerprints, Advances in Neural Information Processing Systems 28: Annual Conference on Neural Information Processing Systems 2015, pp. 2224-2232, (2015)"
continuous-time dynamic network embeddings companion,"Nguyen G.H., Lee J.B., Rossi R.A., Ahmed N.K., Koh E., Kim S., Continuous-Time Dynamic Network Embeddings Companion, Proceedings of the The Web Conference 2018, pp. 969-976, (2018)"
graph contrastive learning with adaptive augmentation,"Zhu Y., Xu Y., Yu F., Liu Q., Wu S., Wang L., Graph contrastive learning with adaptive augmentation, Proceedings of the Web Conference, 2021, (2021)"
minimum dominating set of multiplex networks: definition,"Zhao D., Xiao G., Wang Z., Et al., Minimum dominating set of multiplex networks: definition, application, and identification, IEEE Trans. Syst. Man Cybern. Syst., 51, pp. 7823-7837, (2020)"
reducing the dimensionality of data with neural networks,"Hinton G.E., Salakhutdinov R.R., Reducing the dimensionality of data with neural networks, Science, 313, 5786, (2006)"
link prediction based on graph neural networks,"Zhang M., Chen Y., Link prediction based on graph neural networks, Proceedings of the Advances in Neural Information Processing Systems, pp. 5165-5175, (2018)"
deepergcn: all you need to train deeper gcns,"Li G., Xiong C., Thabet A., Ghanem B., Deepergcn: All you need to train deeper gcns, (2020)"
the graph neural network model [j],"Scarselli F., Gori M., Tsoi A.C., Et al., The graph neural network model [J], IEEE transactions on neural networks, 20, 1, pp. 61-80, (2008)"
revisiting graph neural networks: all we have is low-pass filters,"Nt H., Maehara T., Revisiting Graph Neural Networks: All We have is Low-Pass Filters, (2019)"
graph representation learning,"Hamilton W.L., Graph representation learning, Synth. Lect. Artif. Intell. Mach. Learn., 14, 3, pp. 1-159, (2020)"
automated data augmentations for graph classification,"Luo Y., McThrow M., Au W.Y., Komikado T., Uchino K., Maruhashi K., Ji S., Automated Data Augmentations for Graph Classification, (2022)"
on the importance of building high-quality training datasets for neural code search,"Sun Z., Li L., Liu Y., Du X., Li L., On the importance of building high-quality training datasets for neural code search, The 44th International Conference on Software Engineering (ICSE 2022), (2022)"
a tutorial on network embeddings,"Chen H., Perozzi B., Al-Rfou R., Skiena S., A tutorial on network embeddings, (2018)"
knowledge transfer for out-of-knowledge-base entities: a graph neural network approach,"Hamaguchi T., Oiwa H., Shimbo M., Matsumoto Y., Knowledge transfer for out-of-knowledge-base entities: A graph neural network approach, (2017)"
bag of graphs=definition,"Silva F.B., Et al., Bag of Graphs=definition, Implementation, and Validation in Classification Tasks, (2014)"
long short-term memory over recursive structures,"Zhu X., Sobihani P., Guo H., Long short-term memory over recursive structures, International Conference on Machine Learning, pp. 1604-1612, (2015)"
self-attention graph pooling,"Lee J., Lee I., Kang J., Self-attention graph pooling, International conference on machine learning. PMLR, pp. 3734-3743, (2019)"
introduction to multi-layer feed-forward neural networks,"Svozil D., Kvasnicka V., Pospichal J., Introduction to multi-layer feed-forward neural networks, Chemometrics and Intelligent Laboratory Systems, (1997)"
cope: modeling continuous propagation and evolution on interaction graph,"Zhang Y., Xiong Y., Li D., Shan C., Ren K., Zhu Y., CoPE: Modeling Continuous Propagation and Evolution on Interaction Graph, Proceedings of the 30th ACM International Conference on Information & Knowledge Management, 2021, pp. 2627-2636"
pathsim: meta path-based top-k similarity search in heterogeneous information networks,"Sun Y., Han J., Yan X., Yu P.S., Wu T., Pathsim: Meta path-based top-k similarity search in heterogeneous information networks, VLDB, (2011)"
a practical tutorial on graph neural networks,"Ronald Ward I., Joyner J., Lickfold C., Guo Y., Bennamoun M., A Practical Tutorial on Graph Neural Networks, (2020)"
gnnexplainer: generating explanations for graph neural networks,"Ying Z., Bourgeois D., You J., Zitnik M., Leskovec J., GNNExplainer: Generating Explanations for Graph Neural Networks, Advances in Neural Information Processing Systems, H. Wallach, H. Larochelle, A. Beygelzimer, F. d'Alche-Buc, E. Fox, and R. Garnett (Eds.). Curran Associates, Inc, (2019)"
multi-level recommendation reasoning over knowledge graphs with reinforcement learning,"Wang X., Liu K., Wang D., Wu L., Fu Y., Xie X., Multi-level recommendation reasoning over knowledge graphs with reinforcement learning, WWW, pp. 2098-2108, (2022)"
graph2vec: learning distributed representations of graphs,"Narayanan A., Chandramohan M., Venkatesan R., Et al., graph2vec: learning distributed representations of graphs, Proceedings of the MLG, Halifax, Nova Scotia, CAN, (2017)"
towards sparse hierarchical graph classifiers,"Cangea C., Velickovic P., Jovanovic N., Kipf T., Lió, ‘P.: Towards Sparse Hierarchical Graph Classifiers. Arxiv Preprint Arxiv, 1811, (2018)"
modeling global and local node contexts for text generation from knowledge graphs,"Ribeiro L.F., Zhang Y., Gardent C., Gurevych I., Modeling global and local node contexts for text generation from knowledge graphs, Trans. Assoc. Comput. Ling., 8, pp. 589-604, (2020)"
effective and efficient dropout for deep convolutional neural networks,"Cai S., Shu Y., Chen G., Chin Ooi B., Wang W., Zhang M., Effective and efficient dropout for deep convolutional neural networks, (2019)"
networks: an introduction,"Newman M., Networks: An Introduction, (2010)"
learning linear dynamical systems via spectral filtering,"HAZAN E., SINGH K., ZHANG C., Learning linear dynamical systems via spectral filtering, Proceedings of the 30th Conference on Advances Neural Information Processing Systems, pp. 6702-6712, (2017)"
attention-based bidirectional long short-term memory networks for relation classification,"Zhou P., Shi W., Tian J., Qi Z., Li B., Hao H., Xu B., Attention-based bidirectional long short-term memory networks for relation classification, Proceedings of the 54th annual meeting of the association for computational linguistics (volume 2: Short papers), pp. 207-212, (2016)"
call graph construction in object-oriented languages,"Grove D., DeFouw G., Dean J., Chambers C., Call graph construction in object-oriented languages, Proceedings of the 1997 12th ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications, pp. 108-124, (1997)"
graphsmote: imbalanced node classification on graphs with graph neural networks,"Zhao T., Zhang X., Wang S., GraphSMOTE: Imbalanced node classification on graphs with graph neural networks, In Proceedings of the Fourteenth ACM International Conference on Web Search and Data Mining (WSDM ’21)., (2021)"
u-net: convolutional networks for biomedical image segmentation,"Ronneberger O., Fischer P., Brox T., U-net: Convolutional networks for biomedical image segmentation, International Conference on Medical image computing and computer-assisted intervention, pp. 234-241, (2015)"
empirical evaluation of gated recurrent neural networks on sequence modeling,"Chung J., Gulcehre C., Cho K., Bengio Y., Empirical evaluation of gated recurrent neural networks on sequence modeling, NIPS 2014 Workshop on Deep Learning, (2014)"
positive and unlabeled multi-graph learning,"Wu J., Pan S., Zhu X., Zhang C., Wu X., Positive and unlabeled multi-graph learning, IEEE Trans Cybern, 47, 4, pp. 818-829, (2016)"
graph attention networks.,"Velickovic P., Cucurull G., Casanova A., Romero A., Lio P., Bengio Y., Graph Attention Networks., (2017)"
spectral clustering with graph neural networks for graph pooling,"Bianchi F.M., Grattarola D., Alippi C., Spectral clustering with graph neural networks for graph pooling, Proc. Int. Conf. Mach. Learn., pp. 874-883, (2020)"
pre-training graph neural networks,"Hu W., Liu B., Gomes J., Zitnik M., Liang P., Pande V., Leskovec J., Pre-training graph neural networks, ICLR, (2020)"
a learning algorithm for continually running fully recurrent neural networks,"Williams R.J., Zipser D., A learning algorithm for continually running fully recurrent neural networks, Neural Comput, 1, 2, pp. 270-280, (1989)"
indigo: gnn-based inductive knowledge graph completion using pair-wise encoding,"Liu S., Grau B., Horrocks I., Kostylev E., Indigo: Gnn-based inductive knowledge graph completion using pair-wise encoding, Advances in Neural Information Processing Systems, 34, pp. 2034-2045, (2021)"
representation learning on graphs: methods and applications,"Hamilton W.L., Ying R., Leskovec J., Representation learning on graphs: Methods and applications, IEEE Data Eng. Bull., 40, 3, pp. 52-74, (2017)"
a pipeline for measuring brand loyalty through social media mining,"Samoaa H., Catania B., A pipeline for measuring brand loyalty through social media mining, SOFSEM 2021. LNCS, Vol. 12607, pp. 489-504, (2021)"
dynamic network embedding by modeling triadic closure process,"Zhou L., Yang Y., Ren X., Wu F., Zhuang Y., Dynamic Network Embedding By Modeling Triadic Closure Process, Proceedings of the AAAI Conference on Artificial Intelligence, 32, (2018)"
graph convolutional policy network for goal-directed molecular graph generation,"You J., Liu B., Ying Z., Pande V., Leskovec J., Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation, Advances in Neural Information Processing Systems, 31, (2018)"
structure-aware transformer for graph representation learning,"Chen D., Bray L.O., Borgwardt K., Structure-Aware Transformer for Graph Representation Learning, Proceedings of the 39th International Conference on Machine Learning, Proceedings of Machine Learning Research, 2022[C]. PMLR"
flow graph representation,"Orailoglu A., Gajski D.D., Flow graph representation, Proc. 23rd ACM/IEEE Design Autom. Conf., pp. 503-509, (1986)"
extractive summarization considering discourse and coreference relations based on heterogeneous graph,"Huang Y.J., Kurohashi S., Extractive summarization considering discourse and coreference relations based on heterogeneous graph, Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics, pp. 3046-3052, (2021)"
latent space approaches to social network analysis,"Hoff P.D., Raftery A.E., Handcock M.S., Latent space approaches to social network analysis, Journal of the american Statistical association, 97, pp. 1090-1098, (2002)"
graph-based pattern-oriented,"Nguyen A.T., Nguyen T.T., Nguyen H.A., Graph-based pattern-oriented, context-sensitive source code completion, 34th international conference on software engineering, ICSE 2012, June 2-9, 2012, Zurich, Switzerland, pp. 69-79, (2012)"
session-based recommendation with graph neural networks,"Wu S., Tang Y., Zhu Y., Wang L., Xie X., Tan T., Session-based recommendation with graph neural networks, AAAI, 33, pp. 346-353, (2019)"
graphterm,"GraphTerm, (2022)"
adaptive recursive neural network for target-dependent twitter sentiment classification,"Dong L., Wei F., Tan C., Tang D., Zhou M., Xu K., Adaptive recursive neural network for target-dependent twitter sentiment classification, Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)., pp. 49-54, (2014)"
convolutional neural networks for sentence classification,"Yoon K., Convolutional neural networks for sentence classification, Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing, pp. 1746-1751, (2014)"
graph neural networks with convolutional arma flters,"Bianchi F.M., Grattarola D., Livi L., Alippi C., Graph neural networks with convolutional arma flters, IEEE transactions on pattern analysis and machine intelligence, (2021)"
heterogeneous graph neural network,"Zhang C., Song D., Huang C., Swami A., Chawla N.V., Heterogeneous graph neural network, Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining, pp. 793-803, (2019)"
gatedgraph sequenceneuralnetworks,"Li Y., Tarlow D., Brockschmidt M., Zemel R., GatedGraph SequenceNeuralNetworks"
semi-supervised classification with graph convolutional networks[j],"Kipf T.N., Welling M., Semi-supervised classification with graph convolutional networks[J], (2016)"
a discourse-aware graph neural network for emotion recognition in multi-party conversation,"Sun Y., Yu N., Fu G., A discourse-aware graph neural network for emotion recognition in multi-party conversation, Findings of the Association for Computational Linguistics: EMNLP 2021, pp. 2949-2958, (2021)"
dropedge: towards deep graph convolutional networks on node classification,"Rong Y., Huang W., Xu T., Huang J., DropEdge: Towards deep graph convolutional networks on node classification, Proceedings of the 8th International Conference on Learning Representations, (2020)"
glmnet: graph learning-matching convolutional networks for feature matching,"Jiang B., Sun P., Luo B., GLMNet: Graph learning-matching convolutional networks for feature matching, Pattern Recognit., 121, (2022)"
representation learning for graph-structured data,"Quoc Nguyen D., Representation Learning for Graph-Structured Data, (2021)"
network embedding and change modeling in dynamic heterogeneous networks,"Bian R., Sing Koh Y., Dobbie G., Divoli A., Network embedding and change modeling in dynamic heterogeneous networks, Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval., pp. 861-864, (2019)"
inductive and unsupervised representation learning on graph structured objects,"Wang L., Et al., Inductive and unsupervised representation learning on graph structured objects, International Conference on Learning Representations, (2020)"
recognizing functions in binaries with neural networks,"Shin E.C.R., Song D., Moazzezi R., Recognizing functions in binaries with neural networks, In: 24Th USENIX Security Symposium (USENIX Security, 15, pp. 611-626, (2015)"
robust network traffic classification,"Zhang J., Chen X., Xiang Y., Zhou W., Wu J., Robust network traffic classification, IEEE/ACM Trans. Netw., 23, 4, pp. 1257-1270, (2015)"
network traffic classification using correlation information,"Zhang J., Xiang Y., Wang Y., Zhou W., Xiang Y., Guan Y., Network traffic classification using correlation information, Ieee Trans. Parallel Distrib. Syst., 24, 1, pp. 104-117, (2013)"
dyrep: learning representations over dynamic graphs,"Trivedi R., Farajtabar M., Biswal P., Zha H., Dyrep: Learning Representations over Dynamic Graphs, International Conference on Learning Representations, (2019)"
multi-graph multi-label learning with dual-granularity labeling,"Zhao Y., Wang Y., Wang Z., Zhang C., Multi-graph multi-label learning with dual-granularity labeling, KDD, pp. 2327-2337, (2021)"
dynamic social network analysis using latent space models,"Sarkar P., Moore A., Dynamic Social Network Analysis Using Latent Space Models, Advances in Neural Information Processing Systems, 18, (2005)"
empirical evaluation of rectified activations in convolutional network,"Xu B., Wang N., Chen T., Li M., Empirical Evaluation of Rectified Activations in Convolutional Network, (2015)"
tensor graph convolutional networks for text classification,"Liu X., You X., Zhang X., Wu J., Lv P., Tensor graph convolutional networks for text classification, Proceedings of the AAAI Conference on Artificial Intelligence, 34, pp. 8409-8416, (2020)"
