Title,Full Reference
runtime exception detection in java programs using symbolic execution,"Kadar I., Hegedus P., Ferenc R., Runtime exception detection in Java programs using symbolic execution, Acta Cybernetica, 21, 3, pp. 331-352, (2014)"
astor: a program repair library for java (demo),"Martinez M., Monperrus M., Astor: A program repair library for Java (demo), Proceedings of the 25th International Symposium on Software Testing and Analysis, pp. 441-444, (2016)"
applying codebert for automated program repair of java simple bugs,"Mashhadi E., Hemmati H., Applying codebert for automated program repair of Java simple bugs, 2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR). IEEE, pp. 505-509, (2021)"
introclassjava: a benchmark of 297 small and buggy java programs,"Durieux T., Monperrus M., IntroClassJava: A Benchmark of 297 Small and Buggy Java Programs, (2016)"
juliet test suite v1.2 for java user guide,"Juliet test suite v1.2 for java user guide, (2012)"
the dacapo benchmarks: java benchmarking development and analysis,"The DaCapo benchmarks: Java benchmarking development and analysis, Proceedings of the 21St Annual ACM SIGPLAN Conference on Object-Oriented Programming Systems, Languages, and Applications (OOPSLA ’06)., pp. 169-190, (2006)"
bscout: direct whole patch presence test for java executables,"Dai J., Zhang Y., Jiang Z., Zhou Y., Chen J., Xing X., Zhang X., Tan X., Yang M., Yang Z., BScout: Direct whole patch presence test for java executables, 29th Usenix Security Symposium (USENIX Security 20), pp. 1147-1164, (2020)"
empirical review of java program repair tools: a large-scale experiment on 2,"Durieux T., Madeiral F., Martinez M., Abreu R., Empirical review of Java program repair tools: A large-scale experiment on 2, 141 bugs and 23, 551 repair attempts, Proceedings of the 27th ACM JointMeeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering. ACM, pp. 302-313, (2019)"
a hybrid approach for inference between behavioral exception api documentation and implementations,"Nguyen H.A., Phan H.D., Khairunnesa S.S., Nguyen S., Yadavally A., Wang S., Rajan H., Nguyen T., A hybrid approach for inference between behavioral exception api documentation and implementations, and its applications, 37th IEEE/ACM International Conference on Automated Software Engineering, pp. 1-13, (2022)"
bears: an extensible java bug benchmark for automatic program repair studies,"Madeiral F., Urli S., Maia M., Monperrus M., Bears: An extensible Java bug benchmark for automatic program repair studies, Proceedings of the 26th International Conference on Software Analysis, Evolution and Reengineering, pp. 468-478, (2019)"
fault localization and repair for java runtime exceptions,"Sinha S., Shah H., Gorg C., Jiang S., Kim M., Harrold M.J., Fault localization and repair for Java runtime exceptions, ISSTA, pp. 153-164, (2009)"
randoop: feedback-directed random testing for java,"Pacheco C., Ernst M.D., Randoop: Feedback-directed random testing for Java, Companion to the 22nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion, pp. 815-816, (2007)"
nopol: automatic repair of conditional statement bugs in java programs,"Xuan J., Martinez M., Demarco F., Clement M., Lamelas Marcote S., Durieux T., Le Berre D., Monperrus M., Nopol: Automatic repair of conditional statement bugs in java programs, IEEE Transactions on Software Engineering, 43, 1, pp. 34-55, (2016)"
an empirical study of cycles among classes in java,"Melton H., Tempero E., An empirical study of cycles among classes in Java, Empir. Soft. Eng., 12, 4, pp. 389-415, (2007)"
a debugging approach for java runtime exceptions based on program slicing and stack traces,"Jiang S., Zhang H., Wang Q., Zhang Y., A debugging approach for Java runtime exceptions based on program slicing and stack traces, QSIC, pp. 393-398, (2010)"
defects4j: a database of existing faults to enable controlled testing studies for java programs,"Just R., Jalali D., Ernst M.D., Defects4J: A database of existing faults to enable controlled testing studies for Java programs, Proceedings of the 23rd International Symposium on Software Testing and Analysis, pp. 437-440, (2014)"
dynamic patch generation for null pointer exceptions using metaprogramming,"Durieux T., Cornu B., Seinturier L., Monperrus M., Dynamic patch generation for null pointer exceptions using metaprogramming, International Conference on Software Analysis, Evolution and Reengineering. IEEE, pp. 349-358, (2017)"
bugsjs: a benchmark of javascript bugs,"Gyimesi P., Vancsics B., Stocco A., Mazinanian D., Beszedes A., Ferenc R., Mesbah A., BugsJS: A benchmark of javascript bugs, IEEE Conference on Software Testing, Validation and Verification. IEEE, pp. 90-101, (2019)"
