Title,Full Reference
deepcpdp: deep learning based cross-project defect prediction,"Chen D., Chen X., Li H., Xie J., Mu Y., Deepcpdp: Deep learning based cross-project defect prediction, Ieee Access, 7, pp. 184832-184848, (2019)"
deployment of a change-level software defect prediction solution into an industrial setting,"Eken B., Tufan S., Tunaboylu A., Guler T., Atar R., Tosun A., Deployment of a change-level software defect prediction solution into an industrial setting, J. Softw.: Evol. Process, (2021)"
gcn2defect: graph convolutional networks for smotetomek-based software defect prediction,"Zeng C., Zhou C.Y., Lv S.K., He P., Huang J., GCN2defect: Graph Convolutional Networks for SMOTETomek-based Software Defect Prediction, pp. 69-79, (2021)"
"towards security defect prediction with ai""","Sestili C.D., Snavely W.S., VanHoudnos N.M., Towards Security Defect Prediction With AI"""
softrec: multi-relationship fused software developer recommendation,"Xie X., Wang B., Yang X., SoftRec: Multi-relationship fused software developer recommendation, Appl. Sci., 10, 12, (2020)"
st-tlf: cross-version defect prediction framework based transfer learning,"Zhao Y., Wang Y., Zhang Y., Zhang D., Gong Y., Jin D., ST-TLF: Cross-version defect prediction framework based transfer learning, Inf. Softw. Technol., 149, (2022)"
an hvsm-based gru approach to predict cross-version software defects,"Bai X., Zhou H., Yang H., An hvsm-based gru approach to predict cross-version software defects, Int. J. Performability Eng, 16, 6, pp. 979-990, (2020)"
cross-project defect prediction using a connectivity-based unsupervised classifier,"Zhang F., Zheng Q., Zou Y., Hassan A.E., Cross-project defect prediction using a connectivity-based unsupervised classifier, Proceedings of the 38th International Conference on Software Engineering, ICSE 2016, Austin, TX, USA, May 14-22, 2016, pp. 309-320, (2016)"
can traditional fault prediction models be used for vulnerability prediction?,"Shin Y., Williams L., Can traditional fault prediction models be used for vulnerability prediction?, Empir. Softw. Eng., 18, 1, pp. 25-59, (2013)"
a general software defect-proneness prediction framework,"Song Q., Jia Z., Shepperd M., Ying S., Liu J., A general software defect-proneness prediction framework, IEEE Trans. Softw. Eng., 37, 3, pp. 356-370, (2010)"
the use of summation to aggregate software metrics hinders the performance of defect prediction models,"Zhang F., Hassan A.E., McIntosh S., Zou Y., The use of summation to aggregate software metrics hinders the performance of defect prediction models, IEEE Transactions On Software Engineering, (2016)"
on the use of design defect examples to detect model refactoring opportunities,"Ghannem A., El Boussaidi G., Kessentini M., On the use of design defect examples to detect model refactoring opportunities, Software Quality Journal, 24, 4, pp. 947-965, (2016)"
simplified deep forest model based just-in-time defect prediction for android mobile apps,"Zhao K., Xu Z., Zhang T., Tang Y., Yan M., Simplified deep forest model based just-in-time defect prediction for android mobile apps, IEEE Trans. Reliab., 70, 2, pp. 848-859, (2021)"
cost-sensitive transfer kernel canonical correlation analysis for heterogeneous defect prediction,"Li Z., Jing X.Y., Wu F., Et al., Cost-sensitive transfer kernel canonical correlation analysis for heterogeneous defect prediction, Autom. Softw. Eng., 25, 2, pp. 201-245, (2018)"
is newer always better? the case of vulnerability prediction models,"Hovsepyan A., Scandariato R., Joosen W., Is Newer Always Better? the Case of Vulnerability Prediction Models, Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement., pp. 1-6, (2016)"
deep learning for justin-time defect prediction,"Yang X., Lo D., Xia X., Zhang Y., Sun J., Deep learning for justin-time defect prediction, Software Quality, Reliability and Security (QRS), 2015 IEEE International Conference On. IEEE, pp. 17-26, (2015)"
predicting vulnerable software components,"Neuhaus S., Zimmermann T., Holler C., Zeller A., Predicting vulnerable software components, Proceedings Ofthe 14th ACM Conference on Computer and Comnumications Security (CCS'07)., pp. 529-540, (2007)"
revisiting supervised and unsupervised models for effort-aware just-in-time defect prediction,"Huang Q., Xia X., Lo D., Revisiting supervised and unsupervised models for effort-aware just-in-time defect prediction, Empir. Softw. Eng., 24, 5, pp. 2823-2862, (2019)"
