Title,Full Reference
on deep unsupervised active learning,"Li C., Ma H., Kang Z., Yuan Y., Zhang X., Wang G., On Deep Unsupervised Active Learning, Proceedings of the Twenty-Ninth International Joint Conference on Artificial Intelligence, IJCAI-20, Christian Bessiere (Ed.). International Joint Conferences on Artificial Intelligence Organization, pp. 2626-2632, (2020)"
image classification with deep learning in the presence of noisy labels: a survey,"Algan G., Ulusoy I., Image classification with deep learning in the presence of noisy labels: A survey, Knowl.-Based Syst., 215, (2021)"
federated learning of a mixture of global and local models,"Hanzely F., Richtarik P., Federated learning of a mixture of global and local models, (2020)"
2021 self-supervised contrastive learning for code retrieval and summarization via semantic-preserving transformations,"Bui N.D.Q., Yu Y., Jiang L., 2021 Self-Supervised Contrastive Learning for Code Retrieval and Summarization via Semantic-Preserving Transformations, Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR ?21). ACM, pp. 511-521"
deep learning & software engineering: state of research and future directions,"Devanbu P., Dwyer M., Elbaum S., Lowry M., Moran K., Poshyvanyk D., Ray B., Singh R., Zhang X., Deep Learning & Software Engineering: State of Research and Future Directions, (2020)"
transfer learning,""
learning task-dependent distributed representations by backpropagation through structure,"Goller C., Kuchler A., Learning task-dependent distributed representations by backpropagation through structure, Proceedings of ICNN, 1, pp. 347-352, (1996)"
minimizing the cost of iterative compilation with active learning,"Ogilvie W.F., Petoumenos P., Wang Z., Leather H., Minimizing the cost of iterative compilation with active learning, 2017 IEEE/ACM International Symposium on Code Generation and Optimization (CGO), pp. 245-256, (2017)"
deep transfer learning with joint adaptation networks,"Long M., Zhu H., Wang J., Jordan M.I., Deep transfer learning with joint adaptation networks, Proc. 34th Int. Conf. Mach. Learn, pp. 2208-2217, (2017)"
deeplearning4j,Deeplearning4j
2020. a survey on contrastive self-supervised learning,"Jaiswal A., Ramesh Babu A., Zaki Zadeh M., Banerjee D., Makedon F., 2020. A Survey on Contrastive Self-supervised Learning"
cil: contrastive instance learning framework for distantly supervised relation extraction,"Chen T., Shi H., Tang S., Chen Z., Wu F., Zhuang Y., Cil: contrastive instance learning framework for distantly supervised relation extraction, (2021)"
simcls: a simple framework for contrastive learning of abstractive summarization,"Liu Y., Liu P., Simcls: a simple framework for contrastive learning of abstractive summarization, (2021)"
