Title,Full Reference
syntax-guided termination analysis,"Fedyukovich G., Zhang Y., Gupta A., Syntax-Guided Termination Analysis, Computer Aided Verification-30th International Conference, CAV 2018, pp. 124-143, (2018)"
unrestricted termination and non-termination arguments for bit-vector programs,"David C., Kroening D., Lewis M., Unrestricted Termination and Non-termination Arguments for Bit-Vector Programs, Programming Languages and Systems-24th European Symposium on Programming, ESOP 2015, 9032, pp. 183-204, (2015)"
termination analysis by learning terminating programs,"Heizmann M., Hoenicke J., Podelski A., Termination Analysis by Learning Terminating Programs, Computer Aided Verification-26th International Conference, CAV 2014, 8559, pp. 797-813, (2014)"
proving non-termination by program reversal,"Chatterjee K., Kafshdar Goharshady E., Novotny P., Zikelic D., Proving non-termination by program reversal, PLDI '21: 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation, pp. 1033-1048, (2021)"
termination analysis without the tears,"Zhu S., Kincaid Z., Termination analysis without the tears, PLDI '21: 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation, pp. 1296-1311, (2021)"
loop summarization using state and transition invariants,"Kroening D., Sharygina N., Tonetta S., Tsitovich A., Wintersteiger C.M., Loop summarization using state and transition invariants, Form. Methods Syst. Des., 42, 3, pp. 221-261, (2013)"
learning probabilistic termination proofs,"Abate A., Giacobbe M., Roy D., Learning Probabilistic Termination Proofs, Computer Aided Verification-33rd International Conference, CAV 2021, pp. 3-26, (2021)"
neural termination analysis,"Giacobbe M., Kroening D., Parsert J., Neural Termination Analysis, ACMJoint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE), (2022)"
an abstract interpretation framework for termination,"Cousot P., Cousot R., An abstract interpretation framework for termination, Proceedings of the 39th ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages, POPL 2012, pp. 245-258, (2012)"
termination analysis with algorithmic learning,"Lee W., Wang B., Yi K., Termination Analysis with Algorithmic Learning, Computer Aided Verification-24th International Conference, CAV 2012, 7358, pp. 88-104, (2012)"
termination analysis with compositional transition invariants,"Kroening D., Sharygina N., Tsitovich A., Wintersteiger C.M., Termination Analysis with Compositional Transition Invariants, Computer Aided Verification, 22nd International Conference, CAV 2010, 6174, pp. 89-103, (2010)"
refinement selection,"Beyer D., Lowe S., Wendler P., Refinement selection, SPIN, LNCS, 9232, pp. 20-38, (2015)"
termination proofs for systems code,"Cook B., Podelski A., Rybalchenko A., Termination proofs for systems code, Proceedings of the ACM SIGPLAN 2006 Conference on Programming Language Design and Implementation, pp. 415-426, (2006)"
termination competition (termcomp),"Termination Competition (TermCOMP), (2021)"
