Title,Full Reference
the pagerank citation ranking: bringing order to the web,"Page L., Brin S., Motwani R., Winograd T., The pagerank citation ranking: Bringing order to the web, Technical Report 1999-66. Stanford InfoLab, (1999)"
survey: deeper inside pagerank,"Langville A.N., Meyer C.D., Survey: Deeper inside PageRank, Internet Math., 1, 3, pp. 335-380, (2003)"
inside pagerank,"Bianchini M., Gori M., Scarselli F., Inside PageRank, ACM Trans. Internet Techn., 5, 1, pp. 92-128, (2005)"
an empirical study of boosting spectrum-based fault localization via pagerank,"Zhang M., Et al., An empirical study of boosting spectrum-based fault localization via PageRank, IEEE Trans. Softw. Eng., 47, 6, pp. 1089-1113, (2021)"
pagerank with priors: an influence propagation perspective,"Xiang B., Liu Q., Chen E., Xiong H., Zheng Y., Yang Y., Pagerank with priors: An influence propagation perspective, Proc. 23rd Int. Joint Conf. on Artif. Intell., pp. 2740-2746, (2013)"
topic-sensitive pagerank: a context-sensitive ranking algorithm for web search,"Haveliwala T.H., Topic-sensitive PageRank: A context-sensitive ranking algorithm for web search, IEEE Trans. Knowl. Data Eng., 15, 4, pp. 784-796, (2003)"
mgfs: a multi-label graph-based feature selection algorithm via pagerank centrality,"Hashemi A., Dowlatshahi M.B., Nezamabadi-Pour H., MGFS: A multi-label graph-based feature selection algorithm via PageRank centrality, Expert Syst. Appl., 142, (2020)"
applying pagerank algorithm in requirement concern impact analysis,"Jin Y., Zhang J., Ma P., Hao W., Luo S., Li Z., Applying PageRank algorithm in requirement concern impact analysis, Proc. 33rd Annu. IEEE Int. Comput. Softw. Appl. Conf., pp. 361-366, (2009)"
efficient computation of pagerank,"Haveliwala T., Efficient computation of PageRank, (1999)"
mbrp: model-based requirements prioritization using pagerank algorithm,"Abbas M., Inayat I., Jan N., Saadatmand M., Enoiu E.P., Sundmark D., MBRP: model-based requirements prioritization using PageRank algorithm, Proc. 26th Asia-Pacific Softw. Eng. Conf., pp. 31-38, (2019)"
hypergraph clustering based on pagerank,"Takai Y., Miyauchi A., Ikeda M., Yoshida Y., Hypergraph clustering based on PageRank, Proc. 26th ACM SIGKDD Conf. Knowl. Discov. Data Mining, pp. 1970-1978, (2020)"
