Title,Full Reference
evaluation methods for unsupervised word embeddings,"Schnabel T., Labutov I., Mimno D.M., Joachims T., Evaluation methods for unsupervised word embeddings, Proceedings of the Conference on Empirical Methods in Natural Language Processing, pp. 298-307, (2015)"
dependency-basedword embeddings,"Levy O., Goldberg Y., Dependency-basedword embeddings, Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics, pp. 302-308, (2014)"
novel positional encodings to enable tree-based transformers,"Shiv V., Quirk C., Novel positional encodings to enable tree-based transformers, Advances in Neural Information Processing Systems, 32, pp. 12081-12091, (2019)"
word embedding evaluation and combination,"Ghannay S., Favre B., Esteve Y., Camelin N., Word embedding evaluation and combination, Proceedings of the Tenth International Conference on Language Resources and Evaluation (LREC'16)., pp. 300-305, (2016)"
predicting and interpreting embeddings for out of vocabulary words in downstream tasks,"Garneau N., Leboeuf J.S., Lamontagne L., Predicting and interpreting embeddings for out of vocabulary words in downstream tasks, (2019)"
bpemb: tokenization-free pretrained subword embeddings in 275 languages,"Heinzerling B., Strube M., BPEmb: Tokenization-free Pretrained Subword Embeddings in 275 Languages, Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018), (2018)"
disentangling user interest and conformity for recommendation with causal embedding,"Zheng Y., Gao C., Li X., He X., Li Y., Jin D., Disentangling user interest and conformity for recommendation with causal embedding, WWW, pp. 2980-2991, (2021)"
dependency based embeddings for sentence classification tasks,"Komninos A., Manandhar S., Dependency based embeddings for sentence classification tasks, Proceedings of the Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 1490-1500, (2016)"
unsupervisedword and dependency path embeddings for aspect term extraction,"Yin Y., Wei F., Dong L., Xu K., Zhang M., Zhou M., Unsupervisedword and dependency path embeddings for aspect term extraction, Proceedings of the 25th International Joint Conference on Artificial Intelligence, pp. 2979-2985, (2016)"
training and evaluating improved dependency-based word embeddings,"Li C., Li J., Song Y., Lin Z., Training and evaluating improved dependency-based word embeddings, Proceedings of the 32nd AAAI Conference on Artificial Intelligence, the 30th Innovative Applications of Artificial Intelligence, and the 8th AAAI Symposium on Educational Advances in Artificial Intelligence, pp. 5836-5843, (2018)"
factors influencing the surprising instability of word embeddings,"Wendlandt L., Kummerfeld J.K., Mihalcea R., Factors influencing the surprising instability of word embeddings, Proceedings of the Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 2092-2102, (2018)"
latent skill embedding for personalized lesson sequence recommendation,"REDDY S., LABUTOV I., JOACHIMS T., Latent skill embedding for personalized lesson sequence recommendation, (2016)"
syntactic dependencies and distributed word representations for analogy detection and mining,"Qiu L., Zhang Y., Lu Y., Syntactic dependencies and distributed word representations for analogy detection and mining, Proceedings of the Conference on Empirical Methods in Natural Language Processing, pp. 2441-2450, (2015)"
graph convolution over pruned dependency trees improves relation extraction,"Zhang Y., Qi P., Manning C. D., Graph convolution over pruned dependency trees improves relation extraction, EMNLP, (2018)"
