Title,Full Reference
facebook 2021. infer,Facebook 2021. Infer
november 2019:41–50,November 2019:41–50
the 2020 state of the octoverse,"The 2020 State of the Octoverse, (2021)"
israel 2021. checkmarx,Israel 2021. Checkmarx
cve-2021-22205 detail,CVE-2021-22205 Detail
cve-2019-19448,"CVE-2019-19448, (2021)"
august 12–14,"August 12–14, 2020"
2017:1298-1302,2017:1298-1302
norcliffe-brown will,"Norcliffe-Brown Will, Vafeias Stathis, Parisot Sarah, Learning conditioned graph structures for interpretable visual question answering, Advances in Neural Information Processing Systems, pp. 8344-8353, (2018)"
2022:99-103,2022:99-103
2019:4665-4671,2019:4665-4671
august 10–12,"August 10–12, 2022"
2020:800-801,2020:800-801
coverity,""
2020:53-69,2020:53-69
cve-2019-19083,"CVE-2019-19083, (2021)"
2021:292-303,2021:292-303
cve-2016-10200,"CVE-2016-10200, (2021)"
2016:855-864,2016:855-864
state of the octoverse: finding balance between work and play (2021,"Forsgren N., Ceccarelli G., Jedamski D., Kelly S., Sullivan C., State of the Octoverse: Finding Balance Between Work and Play (2021, (2020)"
wikipedia 2021. norm,Wikipedia 2021. Norm
2017:595-614,2017:595-614
utbot at the sbst2021 tool competition,"Ivanov D., Bukharev N., Menshutin A., Nagdalian A., Stromov G., Ustinov A., UtBot at the SBST2021 Tool Competition, Proceedings of the ACM/IEEE 43th International Conference on Software Engineering: Companion Proceedings (ICSE '21), (2021)"
2019:31-40,2019:31-40
the tcpdump group 2021. tcpdump,The Tcpdump Group 2021. TCPDUMP
2020:5750-5752,2020:5750-5752
synopsys 2021. coverity,Synopsys 2021. Coverity
2018:757-762,2018:757-762
mitre 2021. cwe840,MITRE 2021. CWE840
2022:82-92,2022:82-92
2017:1546-1553,2017:1546-1553
cve-2019-15920,"CVE-2019-15920, (2021)"
2016:85-96,2016:85-96
2019:95-104,2019:95-104
jaccard 2021. jaccard index,Jaccard 2021. Jaccard Index
2012:310-313,2012:310-313
