Title,Full Reference
gplag: detection of software plagiarism by program dependence graph analysis,"Liu C., Chen C., Han J., Yu P.S., GPLAG: Detection of software plagiarism by program dependence graph analysis, Proceedings of the 12th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining., pp. 872-881, (2006)"
the use of program dependence graphs in software engineering,"Horwitz S., Reps T., The use of program dependence graphs in software engineering, International Conference on Software Engineering. ACM, pp. 392-411, (1992)"
system dependence graph construction for recursive programs,"Livadas P.E., Croll S., System dependence graph construction for recursive programs, Proceedings of 1993 IEEE 17th International Computer Software and Applications Conference COMPSAC'93. IEEE, pp. 414-420, (1993)"
the program dependence graph and its use in optimization,"Ferrante J., Ottenstein K.J., Warren J.D., The program dependence graph and its use in optimization[j], ACM Transactions on Programming Languages and Systems (TOPLAS), 9, 3, pp. 319-349, (1987)"
towards a framework for generating program dependence graphs from source code,"Marin V. J., Rivero C. R., Towards a framework for generating program dependence graphs from source code, Proceedings of the 2018 4th ACM SIGSOFT International Workshop on Software Analytics, pp. 30-36, (2018)"
exploring and enforcing security guarantees via program dependence graphs,"Johnson A., Waye L., Moore S., Chong S., Exploring and enforcing security guarantees via program dependence graphs, Proceedings of the 36Th ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI ’15, pp. 291-302, (2015)"
the program dependence graph in a software development environment,"Ottenstein K. J., Ottenstein L. M., The program dependence graph in a software development environment, ACM Sigplan Notices, 19, 5, pp. 177-184, (1984)"
dependence graphs and compiler optimizations,"Kuck D.J., Kuhn R.H., Padua D.A., Leasure B., Wolfe M., Dependence graphs and compiler optimizations, Proc. 8th Acm Sigplansigact Symp. Princ. Program. Lang. (POPL), pp. 207-218, (1981)"
the probabilistic program dependence graph and its application to fault diagnosis,"Baah G.K., Podgurski A., Harrold M.J., The probabilistic program dependence graph and its application to fault diagnosis, IEEE Transactions on Software Engineering, 36, 4, (2010)"
identifying similar code with program dependence graphs,"Krinke J., Identifying similar code with program dependence graphs, Proceedings Ofthe 8th Working Conference on Reverse Engineering (WCRE'OI), pp. 301-309, (2001)"
