Title,Full Reference
scikit-learn: tools for predictive data analysis,"Scikit-Learn: Tools for Predictive Data Analysis, (2019)"
domain-independent proximity measures in intelligent tutoring systems,"MOKBEL B., GROSS S., PAASSEN B., PINKWART N., HAMMER B., Domain-independent proximity measures in intelligent tutoring systems, Proceedings of the 6th International Conference on Educational Data Mining, pp. 334-335, (2013)"
data mining: practical machine learning tools and techniques,"Witten I.H., Frank E., Hall M.A., Data Mining: Practical Machine Learning Tools and Techniques, 3rd Ed, (2011)"
machine learning principles and applications,"Chen H., Huang B., Chen W., Liu F., Machine Learning Principles and Applications, (2017)"
a case study on machine learning for synthesizing benchmarks,"Goens A., Brauckmann A., Ertel S., Cummins C., Leather H., Castrillon J., A case study on machine learning for synthesizing benchmarks, Proceedings of the 3rd ACM SIGPLAN International Workshop on Machine Learning and Programming Languages (MAPL), MAPL 2019, pp. 38-46, (2019)"
future data helps training: modeling future contexts for session-based recommendation,"Yuan F., He X., Jiang H., Guo G., Xiong J., Xu Z., Xiong Y., Future data helps training: Modeling future contexts for session-based recommendation, WWW, pp. 303-313, (2020)"
an investigation of categorical variable encoding techniques in machine learning: binary versus one-hot and feature hashing.,"Seger C., An Investigation of Categorical Variable Encoding Techniques in Machine Learning: Binary Versus One-hot and Feature Hashing., (2018)"
optimizing streaming parallelism on heterogeneous many-core architectures,"Zhang P., Fang J., Yang C., Huang C., Tang T., Wang Z., Optimizing streaming parallelism on heterogeneous many-core architectures, IEEE Transactions on Parallel and Distributed Systems, 31, 8, pp. 1878-1896, (2020)"
a data-driven method for helping teachers improve feedback in computer programming automated tutors,"MCBROOM J., YACEF K., KOPRINSKA I., CURRAN J. R., A data-driven method for helping teachers improve feedback in computer programming automated tutors, Artificial Intelligence in Education, pp. 324-337, (2018)"
a fast learning algorithm for deep belief nets,"Hinton G.E., Osindero S., Teh Y.-W., A fast learning algorithm for deep belief nets, Neural computation, 18, 7, pp. 1527-1554, (2006)"
machine learning with oversampling and undersampling techniques: overview study and experimental results,"Mohammed R., Rawashdeh J., Abdullah M., Machine learning with oversampling and undersampling techniques: overview study and experimental results, 2020 11th International Conference on Information and Communication Systems (ICICS). IEEE, pp. 243-248, (2020)"
a survey ofmachine learning for big code and naturalness,"Allamanis M., Barr E.T., Devanbu P., Sutton C., A Survey ofMachine Learning for Big Code and Naturalness, ACM Comput. Surv, 51, pp. 1-37, (2018)"
federated machine learning: concept and applications,"Yang Q., Liu Y., Chen T., Tong Y., Federated machine learning: Concept and applications, ACM Trans. Intell. Syst. Technol., 10, 2, pp. 1-19, (2019)"
learning with kernels: support vector machines,"Scholkopf B., Smola A., Learning with Kernels: support vector machines, regularization, optimization, and beyond, (2001)"
c4.5: programs for machine learning,"Quinlan J.R., C4.5: Programs for Machine Learning, (2014)"
machine learning based recommendation of method names: how far are we,"Jiang L., Liu H., Jiang H., Machine learning based recommendation of method names: How far are we, 34th IEEE/ACM International Conference on Automated Software Engineering, ASE 2019, pp. 602-614, (2019)"
tensorflow: large-scale machine learning on heterogeneous distributed systems,"Abadi M., Agarwal A., Barham P., Brevdo E., Chen Z., Citro C., Corrado G.S., Davis A., Dean J., Devin M., Et al., Tensorflow: Large-Scale Machine Learning on Heterogeneous Distributed Systems, (2016)"
auto-suggest: learning-to-recommend data preparation steps using data science notebooks,"Yan C., He Y., Auto-suggest: Learning-to-recommend data preparation steps using data science notebooks, SIGMOD, pp. 1539-1554, (2020)"
tensorflow: a system for large-scale machine learning,"Abadi M., Barham P., Chen J., Chen Z., Davis A., Dean J., Devin M., Ghemawat S., Irving G., Isard M., Et al., Tensorflow: A system for large-scale machine learning, 12th {USENIX} Symposium on Operating Systems Design and Implementation (OSDI). 265-283, (2016)"
