Title,Full Reference
joana (java object-sensitive analysis)—information flow control framework for java,"Mohr M., Hecker M., Bischof S., Bechberger J., JOANA (Java Object-Sensitive ANALysis)—information Flow Control Framework for Java, (2021)"
synthesizing java expressions from freeform queries,"Gvero T., Kuncak V., Synthesizing java expressions from freeform queries, Proceedings of the 2015 ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications, pp. 416-432, (2015)"
spoon: a library for implementing analyses and transformations of java source code,"Pawlak R., Monperrus M., Petitprez N., Noguera C., Seinturier L., Spoon: A Library for Implementing Analyses and Transformations of Java Source Code, Software: Practice and Experience, (2015)"
free chat-server: a chatserver written in java,"Andres M., Free Chat-Server: A Chatserver Written in Java, (2013)"
javalang: pure python java parser and tools,"Javalang: Pure Python Java Parser and Tools, (2020)"
soot: a framework for analyzing and transforming java applications,"Soot: A Framework for Analyzing and Transforming Java Applications, (2019)"
java pathfinder.,"Java Pathfinder., (2022)"
the soot framework for java program analysis: a retrospective,"Lam P., Bodden E., Lhotak O., Hendren L., The Soot framework for Java program analysis: a retrospective, Cetus Users and Compiler Infastructure Workshop (CETUS 2011), 15, 35, (2011)"
eclipse jdt,Eclipse JDT
joda-time a quality replacement for the java date and time classes,"Joda-Time a Quality Replacement for the Java Date and Time Classes, (2021)"
building useful program analysis tools using an extensible java compiler,"Aftandilian E., Sauciuc R., Priya S., Krishnan S., Building useful program analysis tools using an extensible Java compiler, SCAM, pp. 14-23, (2012)"
jetty: lightweight highly scalable java based web server and servlet engine,"Foundation E., Jetty: Lightweight Highly Scalable Java Based Web Server and Servlet Engine, (2022)"
automatic generation of natural language summaries for java classes,"Moreno Laura, Aponte Jairo, Sridhara Giriprasad, Marcus Andrian, Pollock Lori, Vijay-Shanker K, Automatic generation of natural language summaries for java classes, 2013 21st International Conference on Program Comprehension (ICPC), pp. 23-32, (2013)"
jcrasher: an automatic robustness tester for java,"Csallner C., Smaragdakis Y., Jcrasher: An automatic robustness tester for Java, Software: Practice and Experience, 34, 11, pp. 1025-1050, (2004)"
java decompiler diversity and its application to meta-decompilation,"Harrand N., Soto-Valero C., Monperrus M., Baudry B., Java decompiler diversity and its application to meta-decompilation, J Syst Softw, 168, (2020)"
mybatis: sql mapper framework for java,"Mybatis: SQL Mapper Framework for Java, (2021)"
eclipse java integrated development environment.,"Eclipse Java Integrated Development Environment., (2022)"
biojava: an open-source framework for bioinformatics in 2012,"Prlic A., Yates A., Bliven S.E., Rose P.W., Jacobsen J., Troshin P.V., Chapman M., Gao J., Koh C.H., Foisy S., Et al., Biojava: an open-source framework for bioinformatics in 2012, Bioinformatics, 28, 20, pp. 2693-2695, (2012)"
a survivor's guide to java program analysis with soot.,"Einarsson A., Dam Nielsen J., A Survivor's Guide to Java Program Analysis with Soot., (2008)"
javaparser: visited,"Smith N., Van Bruggen D., Tomassetti F., Javaparser: Visited, Leanpub, (2017)"
the java language specification,"Gosling J., Joy B., Steele G.L., Bracha G., Buckley A., The Java Language Specification, (2014)"
adabot: fault-tolerant java decompiler,"Li Z., Wu Q., Qian K., Adabot: Fault-tolerant java decompiler, Arxiv Preprint Arxiv, 1908, (2019)"
effective java,"Bloch J., Effective Java, (2016)"
javaparser: a fine-grain concept indexing tool for java problems,"Hosseini R., Brusilovsky P., JavaParser: A fine-grain concept indexing tool for java problems, CEUR Workshop Proceedings, 1009, pp. 60-63, (2013)"
static analysis of students’ java programs,"TRUONG N., ROE P., BANCROFT P., Static analysis of students’ Java programs, Proceedings of the Sixth Australasian Conference on Computing Education, pp. 317-325, (2004)"
apache jackrabbit is a fully conforming implementation of the content repository for java technology api,"Apache Jackrabbit is a Fully Conforming Implementation of the Content Repository for Java Technology API, (2022)"
javaparser,""
no java without caffeine: a tool for dynamic analysis of java programs,"Gueheneuc Y., Douence R., Jussien N., No Java without caffeine: A tool for dynamic analysis of Java programs, Proceedings 17th Ieee International Conference on Automated Software Engineering, pp. 117-126, (2002)"
rxjava,RxJava
modeling java programs for diagnosis.,"Mateis C., Stumptner M., Wotawa F., Modeling Java Programs for Diagnosis., (2000)"
jada-the java deadlock analyser,"Garcia A., Laneve C., JaDA-the Java deadlock analyser, Behavioural Types: From Theories to Tools, pp. 169-192, (2017)"
soot: a java bytecode optimization framework,"Vallee-Rai R., Co P., Gagnon E., Hendren L., Lam P., Sundaresan V., Soot: A Java bytecode optimization framework, CASCON, (1999)"
javaparser: visited. leanpub,"Smith N., Van Bruggen D., Tomassetti F., Javaparser: visited. Leanpub, (2017)"
automatic source code summarization of context for java methods,"McBurney P.W., McMillan C., Automatic source code summarization of context for Java methods, IEEE Trans. Softw. Eng, 42, 2, pp. 103-119, (2016)"
jimple: simplifying java bytecode for analyses and transformations: technical report,"Vallee-Rai R., Hendren L.J., Jimple: Simplifying Java bytecode for analyses and transformations: Technical Report, (1998)"
